GeneID	GeneName	GeneDescription
AGAP000225		netrin 1 [Source:VB Community Annotation]
AGAP000226	Or41	odorant receptor 41 [Source:VB Community Annotation]
AGAP000228		netrin 1 [Source:VB Community Annotation]
AGAP000230	Or52	odorant receptor 52 [Source:VB Community Annotation]
AGAP000232		regulator of G-protein signaling [Source:VB Community Annotation]
AGAP000233		
AGAP000234		
AGAP000235		Thymosin [Source:VB Community Annotation]
AGAP000236		3',5'-cyclic-nucleotide phosphodiesterase [Source:VB Community Annotation]
AGAP000237		cAMP response element-binding protein (CREB) [Source:VB Community Annotation]
AGAP000238		
AGAP000239		allantoinase [Source:VB Community Annotation]
AGAP000240		HtrA serine peptidase 2 [Source:VB Community Annotation]
AGAP000241		N-acetylglucosamine kinase [Source:VB Community Annotation]
AGAP000242		vesicle transport protein SEC20 [Source:VB Community Annotation]
AGAP000243		Rhophilin-2 [Source:VB Community Annotation]
AGAP000244		
AGAP000245		
AGAP000246		
AGAP000247		
AGAP000248		protein phosphatase 1H [Source:VB Community Annotation]
AGAP000249		mannosyl-glycoprotein endo-beta-N-acetylglucosaminidase [Source:VB Community Annotation]
AGAP000250		STAGA complex 65 subunit gamma [Source:VB Community Annotation]
AGAP000251		
AGAP000252		oligopeptidase A [Source:VB Community Annotation]
AGAP000253		solute carrier family 25 [Source:VB Community Annotation]
AGAP000254		potassium voltage-gated channel Shaker-related subfamily A [Source:VB Community Annotation]
AGAP000255		disks large protein 1 [Source:VB Community Annotation]
AGAP000256	IR93a	ionotropic receptor IR93a [Source:VB Community Annotation]
AGAP000258		Hexosyltransferase [Source:UniProtKB/TrEMBL;Acc:Q7PRX3]
AGAP000260		mitochondrial ATP synthase epsilon chain [Source:VB Community Annotation]
AGAP000261		DnaJ-like protein subfamily C [Source:VB Community Annotation]
AGAP000262		
AGAP000264		
AGAP000266		
AGAP000267		
AGAP000268		
AGAP000269		ubiquitin carboxyl-terminal hydrolase 30 [Source:VB Community Annotation]
AGAP000270		nucleolar protein 53 [Source:VB Community Annotation]
AGAP000271		
AGAP000272		transcription initiation factor TFIID subunit 9 / adenylate kinase [Source:VB Community Annotation]
AGAP000273		
AGAP000274		
AGAP000275		epidermal retinal dehydrogenase [Source:VB Community Annotation]
AGAP000277		EF-hand calcium-binding domain-containing protein 1 [Source:VB Community Annotation]
AGAP000278	OBP9	odorant-binding protein 9 [Source:VB Community Annotation]
AGAP000279	OBP8	odorant-binding protein 8 [Source:VB Community Annotation]
AGAP000280		guanylate cyclase soluble subunit alpha [Source:VB Community Annotation]
AGAP000281		
AGAP000283		
AGAP000284	CYP315A1	cytochrome P450 [Source:VB Community Annotation]
AGAP000285		
AGAP000286		
AGAP000287		prostaglandin reductase 1, gene [Source:VB Community Annotation]
AGAP000288		prostaglandin reductase 1 [Source:VB Community Annotation]
AGAP000289		prostaglandin reductase 1, gene 2 [Source:VB Community Annotation]
AGAP000290	CLIPA27	CLIP-domain serine protease [Source:VB Community Annotation]
AGAP000291		Translocase of inner mitochondrial membrane 44 homolog (yeast) [Source:VB Community Annotation]
AGAP000292		
AGAP000293	IR100h	ionotropic receptor IR100h [Source:VB Community Annotation]
AGAP000294		
AGAP000295		
AGAP000296		
AGAP000297		
AGAP000298		
AGAP000299		
AGAP000300		Bifunctional pyrimidine biosynthesis protein (PyrABCN) [Source:VB Community Annotation]
AGAP000301		
AGAP000303		
AGAP000304		Protein twisted gastrulation [Source:VB Community Annotation]
AGAP000305		SPARC [Source:VB Community Annotation]
AGAP000306		Histone H2A [Source:UniProtKB/TrEMBL;Acc:Q7QF50]
AGAP000307		Integrin alpha-PS1 [Source:VB Community Annotation]
AGAP000308		proteasome activator subunit 3 (PA28 gamma) [Source:VB Community Annotation]
AGAP000309		
AGAP000310		mitogen-activated protein kinase kinase 3 [Source:VB Community Annotation]
AGAP000311		UNC93-like protein MFSD11 [Source:VB Community Annotation]
AGAP000312		
AGAP000313		alanine-glyoxylate aminotransferase 2-like [Source:VB Community Annotation]
AGAP000314		
AGAP000315	CLIPC6	CLIP-domain serine protease [Source:VB Community Annotation]
AGAP000316		
AGAP000317		
AGAP000319		Katanin p80 WD40 repeat-containing subunit B1 [Source:UniProtKB/TrEMBL;Acc:Q7QF60]
AGAP000320		dynein intermediate chain, cytosolic [Source:VB Community Annotation]
AGAP000321		
AGAP000322		Adaptin ear-binding coat-associated protein 1 [Source:VB Community Annotation]
AGAP000323		
AGAP000324		tRNA (guanine9-N1)-methyltransferase [Source:VB Community Annotation]
AGAP000325		lysyl-tRNA synthetase, class II [Source:VB Community Annotation]
AGAP000326		
AGAP000327		tyrosine aminotransferase [Source:VB Community Annotation]
AGAP000328		AMME syndrome candidate gene 1 protein [Source:VB Community Annotation]
AGAP000329	alpha3	nicotinic acetylcholine receptor subunit alpha 3 [Source:VB Community Annotation]
AGAP000330		
AGAP000331		low density lipoprotein-related protein 2] [Source:VB Community Annotation]
AGAP000332	Vir	protein virilizer [Source:VB Community Annotation]
AGAP000334		
AGAP000336		transcription initiation factor TFIID TATA-box-binding protein [Source:VB Community Annotation]
AGAP000337		regulator of nonsense transcripts 2 [Source:VB Community Annotation]
AGAP000338		phosphomevalonate kinase [Source:VB Community Annotation]
AGAP000339		E3 ubiquitin-protein ligase Hakai [Source:VB Community Annotation]
AGAP000340		
AGAP000341	GALE2	galectin 2 [Source:VB Community Annotation]
AGAP000342		inhibin, beta [Source:VB Community Annotation]
AGAP000343		
AGAP000344	CPR127	cuticular protein RR-1 family 127 [Source:VB Community Annotation]
AGAP000345	CPR126	cuticular protein RR-2 family 126 [Source:VB Community Annotation]
AGAP000346	SPZ1	spaetzle-like cytokine 1 [Source:VB Community Annotation]
AGAP000347	CAPA	pyrokinin capa-like [Source:VB Community Annotation]
AGAP000348		
AGAP000349		transient receptor potential cation channel subfamily C, invertebrate [Source:VB Community Annotation]
AGAP000351	GPRNPY1	
AGAP000352	TWDL1	cuticular protein TWDL family (TWDL1) [Source:VB Community Annotation]
AGAP000354		
AGAP000355		
AGAP000356		
AGAP000357		E3 ubiquitin-protein ligase ZNRF1/2 [Source:VB Community Annotation]
AGAP000358		
AGAP000359		venom allergen [Source:VB Community Annotation]
AGAP000360		
AGAP000361		
AGAP000363		
AGAP000364		protein stoned-A [Source:VB Community Annotation]
AGAP000365		alpha-1,3-fucosyltransferase [Source:VB Community Annotation]
AGAP000366		
AGAP000367		glyoxalase domain-containing protein 4 [Source:VB Community Annotation]
AGAP000368		PI-3-kinase-related kinase SMG-1 [Source:VB Community Annotation]
AGAP000369	GPRNNA10	putative GPCR class a orphan receptor 10 [Source:VB Community Annotation]
AGAP000372		
AGAP000374		anaphase-promoting complex subunit 1 [Source:VB Community Annotation]
AGAP000375		
AGAP000376	Tsf1	Transferrin [Source:UniProtKB/TrEMBL;Acc:Q7QF98]
AGAP000377		E3 ubiquitin-protein ligase [Source:UniProtKB/TrEMBL;Acc:Q7QF99]
AGAP000378		programmed cell death protein 4 [Source:VB Community Annotation]
AGAP000379	PBD3	piggyBac-derived 3 [Source:VB Community Annotation]
AGAP000380		5'-nucleotidase [Source:VB Community Annotation]
AGAP000382	CPF4	cuticular protein 4 from fifty-one aa family [Source:VB Community Annotation]
AGAP000383		putative G-protein coupled receptor GPCR [Source:VB Community Annotation]
AGAP000385		
AGAP000387		UDP-N-acetylglucosamine transporter [Source:VB Community Annotation]
AGAP000388	TRAF6	TOLL pathway signalling TNF Receptor-Associated Factor (TRAF). [Source:VB Community Annotation]
AGAP000389		
AGAP000390		Phospholipid-transporting ATPase [Source:UniProtKB/TrEMBL;Acc:Q7PS19]
AGAP000391		negative elongation factor C/D [Source:VB Community Annotation]
AGAP000392		synaptobrevin homolog YKT6 [Source:VB Community Annotation]
AGAP000393		Trimeric intracellular cation channel type B [Source:VB Community Annotation]
AGAP000394		facilitated glucose transporter (solute carrier family 2) [Source:VB Community Annotation]
AGAP000395		endoplasmic reticulum protein [Source:VB Community Annotation]
AGAP000396	TPX1	thioredoxin peroxidase 1 [Source:VB Community Annotation]
AGAP000397		nucleolar protein 14 [Source:VB Community Annotation]
AGAP000398		methionyl-tRNA formyltransferase [Source:VB Community Annotation]
AGAP000399		squid [Source:VB Community Annotation]
AGAP000400		
AGAP000401		carbonic anhydrase 2 [Source:VB Community Annotation]
AGAP000402		Nogo-B receptor precursor [Source:VB Community Annotation]
AGAP000403		
AGAP000405		sphingomyelin phosphodiesterase 4 [Source:VB Community Annotation]
AGAP000406		Rho-associated protein kinase [Source:VB Community Annotation]
AGAP000407		
AGAP000410		histone deacetylase 4/5 [Source:VB Community Annotation]
AGAP000411		
AGAP000412		
AGAP000413		
AGAP000414		prostaglandin reductase 1 [Source:VB Community Annotation]
AGAP000415		5-hydroxyisourate hydrolase [Source:VB Community Annotation]
AGAP000416		hydroxyacylglutathione hydrolase [Source:VB Community Annotation]
AGAP000417		
AGAP000420		
AGAP000421		
AGAP000422		(heparan sulfate)-glucosamine 3-sulfotransferase 3 [Source:VB Community Annotation]
AGAP000423		
AGAP000424		
AGAP000425		
AGAP000426		benzodiazapine receptor [Source:VB Community Annotation]
AGAP000427		vitellogenin receptor [Source:VB Community Annotation]
AGAP000428		
AGAP000429		Protein FAN [Source:VB Community Annotation]
AGAP000430		
AGAP000431		
AGAP000432		
AGAP000433		Ras-related protein Rab-39B [Source:VB Community Annotation]
AGAP000434		dolichyl-diphosphooligosaccharide--protein glycosyltransferase [Source:VB Community Annotation]
AGAP000436	Cht11	chitinase [Source:VB Community Annotation]
AGAP000437		
AGAP000438		
AGAP000439		4a-hydroxytetrahydrobiopterin dehydratase [Source:VB Community Annotation]
AGAP000440	ABCD2	ATP-binding cassette transporter (ABC transporter) family D member 2 [Source:VB Community Annotation]
AGAP000441		nuclear transcription factor Y, gamma [Source:VB Community Annotation]
AGAP000444	Ciao1	cytosolic iron-sulfur protein assembly protein [Source:VB Community Annotation]
AGAP000445	GPRADS	putative adenosine receptor [Source:VB Community Annotation]
AGAP000446		
AGAP000447		
AGAP000448		solute carrier family 25 (mitochondrial ornithine transporter) member 2/15 [Source:VB Community Annotation]
AGAP000449		
AGAP000452		
AGAP000453		
AGAP000454		
AGAP000456		
AGAP000457		protein-L-isoaspartate(D-aspartate) O-methyltransferase [Source:VB Community Annotation]
AGAP000458		
AGAP000460		
AGAP000461		Odz, odd Oz/ten-m homolog 2 (Drosophila) [Source:VB Community Annotation]
AGAP000462		peptidyl-prolyl isomerase F (cyclophilin D) [Source:VB Community Annotation]
AGAP000463		
AGAP000466	ACE2	acetylcholinesterase [Source:VB Community Annotation]
AGAP000467		lysophospholipid hydrolase [Source:VB Community Annotation]
AGAP000468		
AGAP000469		
AGAP000470		methylthioribulose-1-phosphate dehydratase [Source:VB Community Annotation]
AGAP000471		F-box and leucine-rich repeat protein 4 [Source:VB Community Annotation]
AGAP000472		chordin [Source:VB Community Annotation]
AGAP000473		proton-coupled amino acid transporter [Source:VB Community Annotation]
AGAP000474		origin recognition complex subunit 2 [Source:VB Community Annotation]
AGAP000475		
AGAP000476		Xaa-Pro aminopeptidase [Source:VB Community Annotation]
AGAP000477		serine/threonine kinase 32 [Source:VB Community Annotation]
AGAP000478		BTB/POZ domain-containing protein KCTD9 [Source:VB Community Annotation]
AGAP000479		pre-rRNA-processing protein IPI3 [Source:VB Community Annotation]
AGAP000480		nuclear pore complex protein Nup43 [Source:VB Community Annotation]
AGAP000481		cyanogenic beta-glucosidase [Source:VB Community Annotation]
AGAP000482		
AGAP000483		Inositol polyphosphate-5-phosphatase F [Source:VB Community Annotation]
AGAP000484		homeobox protein Nkx-1 [Source:VB Community Annotation]
AGAP000485		venom allergen [Source:VB Community Annotation]
AGAP000488		homeobox protein Nkx-5 [Source:VB Community Annotation]
AGAP000489		Eph receptor B1 [Source:VB Community Annotation]
AGAP000491		HIG1 domain family member 2A [Source:VB Community Annotation]
AGAP000493		
AGAP000494		
AGAP000495		SUMO-conjugating enzyme UBC9 [Source:VB Community Annotation]
AGAP000496		geminin [Source:VB Community Annotation]
AGAP000497		
AGAP000498		nuclear transport factor 2 [Source:VB Community Annotation]
AGAP000499		
AGAP000500	Cpr	NADPH cytochrome P450 reductase [Source:VB Community Annotation]
AGAP000504		
AGAP000506	ABCG2	ATP-binding cassette transporter (ABC transporter) family G member 2 [Source:VB Community Annotation]
AGAP000507		
AGAP000508	mRpL22	39S ribosomal protein L22, mitochondrial [Source:VB Community Annotation]
AGAP000509		Post-GPI attachment to proteins factor 2-like [Source:VB Community Annotation]
AGAP000512		transcriptional enhancer factor [Source:VB Community Annotation]
AGAP000513		dipeptidase E [Source:VB Community Annotation]
AGAP000514		Protein MAK16 homolog [Source:UniProtKB/TrEMBL;Acc:Q7PRY6]
AGAP000515		enhancer of rudimentary protein [Source:VB Community Annotation]
AGAP000516		enhancer of rudimentary protein [Source:VB Community Annotation]
AGAP000519		diacylglycerol kinase (ATP dependent) [Source:VB Community Annotation]
AGAP000520		
AGAP000521		
AGAP000522		
AGAP000523		F-type H+-transporting ATPase subunit c [Source:VB Community Annotation]
AGAP000526		translation initiation factor 4B [Source:VB Community Annotation]
AGAP000528		
AGAP000529		vacuolar protein sorting-associated protein 16-like protein [Source:VB Community Annotation]
AGAP000530		Werner Syndrome-like exonuclease [Source:VB Community Annotation]
AGAP000531		lipoyl(octanoyl) transferase [Source:VB Community Annotation]
AGAP000532		histone deacetylase 6/10 [Source:VB Community Annotation]
AGAP000533		
AGAP000534		glutathione synthase [Source:VB Community Annotation]
AGAP000535		
AGAP000536	PGRPS1	peptidoglycan recognition protein (short) [Source:VB Community Annotation]
AGAP000537	TWDL8	cuticular protein TWDL family (TWDL8) [Source:VB Community Annotation]
AGAP000538	TWDL9	cuticular protein TWDL family (TWDL9) [Source:VB Community Annotation]
AGAP000539		
AGAP000540		proton-coupled amino acid transporter [Source:VB Community Annotation]
AGAP000541	RpS15a-1	40S ribosomal protein S15a [Source:VB Community Annotation]
AGAP000543		vitamin-K-epoxide reductase (warfarin-sensitive) [Source:VB Community Annotation]
AGAP000544		solute carrier family 35, member E1 [Source:VB Community Annotation]
AGAP000545		
AGAP000546		acyl-CoA-binding protein [Source:VB Community Annotation]
AGAP000547		rabenosyn-5 [Source:VB Community Annotation]
AGAP000548	SG1b	salivary gland protein 1-like 2 [Source:VB Community Annotation]
AGAP000549		2-oxoisovalerate dehydrogenase E2 component (dihydrolipoyl transacylase) [Source:VB Community Annotation]
AGAP000550		
AGAP000551		2-oxoglutarate dehydrogenase E1 component DHKTD1 [Source:VB Community Annotation]
AGAP000552		TBC domain-containing protein kinase-like protein [Source:VB Community Annotation]
AGAP000553	white	protein white [Source:VB Community Annotation]
AGAP000554		
AGAP000555	mal	Molybdenum cofactor sulfurase [Source:UniProtKB/Swiss-Prot;Acc:Q7QFL7]
AGAP000556		selenoprotein W-related protein [Source:VB Community Annotation]
AGAP000558		mannosyl-oligosaccharide alpha-1,2-mannosidase [Source:VB Community Annotation]
AGAP000559		
AGAP000560		spastic paraplegia 7 [Source:VB Community Annotation]
AGAP000561		kinesin family member 5 [Source:VB Community Annotation]
AGAP000562	Moe	Moesin/ezrin/radixin homolog 1 [Source:UniProtKB/Swiss-Prot;Acc:Q7PS12]
AGAP000563		Arf-GAP with coiled-coil, ANK repeat and PH domain-containing protein [Source:VB Community Annotation]
AGAP000564		C-factor [Source:VB Community Annotation]
AGAP000565	TRXR	thioredoxin reductase [Source:VB Community Annotation]
AGAP000566		
AGAP000567		palmitoyltransferase ZDHHC9 [Source:VB Community Annotation]
AGAP000569		forkhead box protein P [Source:VB Community Annotation]
AGAP000570		
AGAP000571	CLIPC5	CLIP-domain serine protease [Source:VB Community Annotation]
AGAP000572	CLIPC10	CLIP-domain serine protease [Source:VB Community Annotation]
AGAP000573	CLIPC4	CLIP-domain serine protease [Source:VB Community Annotation]
AGAP000574		PDGF- and VEGF-related factor 1 [Source:VB Community Annotation]
AGAP000575		kinesin family member 4/7/21/27 [Source:VB Community Annotation]
AGAP000576		
AGAP000577		AMP deaminase [Source:VB Community Annotation]
AGAP000578		
AGAP000579		Niemann-Pick C1 protein [Source:VB Community Annotation]
AGAP000585		
AGAP000586		
AGAP000587		
AGAP000588		
AGAP000589		poly(ADP-ribose) glycohydrolase [Source:VB Community Annotation]
AGAP000591		decaprenyl-diphosphate synthase subunit 1 [Source:VB Community Annotation]
AGAP000592		
AGAP000594		
AGAP000595		lysophosphatidylcholine acyltransferase 2B [Source:VB Community Annotation]
AGAP000596		lysophosphatidylcholine acyltransferase / lyso-PAF acetyltransferase [Source:VB Community Annotation]
AGAP000597		DNA cross-link repair 1C protein [Source:VB Community Annotation]
AGAP000598		scaffold protein Nfu/NifU [Source:VB Community Annotation]
AGAP000599		XK-related protein [Source:UniProtKB/TrEMBL;Acc:Q7QFP3]
AGAP000601		protein halfway [Source:VB Community Annotation]
AGAP000602		phosphoinositide-3-kinase, regulatory subunit 4 [Source:VB Community Annotation]
AGAP000603		
AGAP000604		
AGAP000605		
AGAP000606	GPRNNA19	putative GPCR class a orphan receptor 19 [Source:VB Community Annotation]
AGAP000607	SG1c	salivary gland protein 1-like 3 [Source:VB Community Annotation]
AGAP000609	SG1e	salivary gland protein 1-like 5 [Source:VB Community Annotation]
AGAP000610	SG1f	salivary gland protein 1-like 6 [Source:VB Community Annotation]
AGAP000611	SG1d	salivary gland protein 1-like 4 [Source:VB Community Annotation]
AGAP000612	SG1	salivary gland protein 1 [Source:VB Community Annotation]
AGAP000614		
AGAP000615		
AGAP000616		26S proteasome regulatory subunit T5 [Source:VB Community Annotation]
AGAP000617		dual specificity phosphatase [Source:VB Community Annotation]
AGAP000618		succinate dehydrogenase (ubiquinone) membrane anchor subunit [Source:VB Community Annotation]
AGAP000619		inhibitor of growth protein 3 [Source:VB Community Annotation]
AGAP000620		
AGAP000621		carboxypeptidase A1 [Source:VB Community Annotation]
AGAP000622		
AGAP000623		DNA ligase 4 [Source:VB Community Annotation]
AGAP000624		
AGAP000625		vacuolar protein-sorting-associated protein 4 [Source:VB Community Annotation]
AGAP000626		Vesicle-associated membrane protein-associated protein B [Source:VB Community Annotation]
AGAP000627		casein kinase 1, alpha [Source:VB Community Annotation]
AGAP000628		
AGAP000629		
