GeneID	Tiefora_v_Ngousso_log2FoldChange	Ban_v_BanS_log2FoldChange	BanRe_v_BanS_log2FoldChange	Bak_v_Kisumu_log2FoldChange	VK7_v_Kisumu_log2FoldChange	Cameroon_v_Ngousso_log2FoldChange	Chad_v_Ngousso_log2FoldChange	Niger_v_Ngousso_log2FoldChange	Nigeria_v_Ngousso_log2FoldChange	Agboville_v_Mali_log2FoldChange	Agboville_v_Ngousso_log2FoldChange	Dabou_v_Mali_log2FoldChange	Dabou_v_Ngousso_log2FoldChange	Tiassale_v_Mali_log2FoldChange	Tiassale_v_Ngousso_log2FoldChange	Bouake_gamb_unexp_v_Kisumu_log2FoldChange	Bouake_colu_unexp_v_Ngousso_log2FoldChange	BusiaSurvivors_v_Kisumu_log2FoldChange	Asendabo_v_Moz_log2FoldChange	Chewaka_v_Moz_log2FoldChange	Tolay_v_Moz_log2FoldChange	Ethiopia_v_Dongola_log2FoldChange	Gou_v_Moz_log2FoldChange	Cam_fun_v_Fang_log2FoldChange	Fumoz_v_Fang_log2FoldChange	Ghana_fun_v_Fang_log2FoldChange	Malawi_fun_v_Fang_log2FoldChange	Uganda_fun_v_Fang_log2FoldChange	GeneName	GeneDescription
AGAP006017	0	0	0.555	0	0	0.603	0.422	0.773	0.856	0	0.006	0	0.006	0	0	0.075	0.766	0	0	0	0	0.705	0.096	0.294	0.483	0.355	0.796	0.424	""	serine/threonine-protein phosphatase 6 regulatory subunit 3 [Source:VB Community Annotation]
AGAP000743	0	0	0	0.327	0.926	0	0.002	0	0	0.272	0.021	0.339	0.801			0	0.112	0	0	0	0	0	0.941	0.481	0.107	0.083	0.087	0.281	""	""
AGAP005783	0	0	0.126	0	0	0.581	0.436	0	0	0.06	0.01	0.001	0	0	0	0.34	0.7	0	0.535	0.235	0.499	0	0.003	0.706	0.616	0.228	0.823	0.321	""	""
AGAP008291	0	0.328	0	0.039	0.001	0	0.022	0	0	0	0	0.056	0.092	0.194	0.195	0.08	0	0	0.002	0	0	0.003	0	0.902	0.185	0.863	0.521	0.592	TRYP5	trypsin 5 [Source:VB Community Annotation]
AGAP008331	0	0.869	0	0	0	0	0	0	0	0.084	0.007	0.312	0.058	0.488	0.107	0	0	0	0.484	0.086	0.053	0.89	0.468	0	0.018	0.013	0	0.175	""	WD repeat-containing protein 59 [Source:VB Community Annotation]
AGAP000363	0	0	0	0.189	0.008	0.545	0.58	0.214	0.039	0.893	0.546	0.995	0.444	0.916	0.372	0.006	0.686	0	0	0	0	0.623	0.55	0	0.107	0.013	0.074	0.365	""	""
AGAP011475	0	0	0.001	0.008	0.27	0	0	0	0.007	0.903	0.196	0.406		0.153	0.005	0.007	0	0	0.346	0.279		0.003	0	0.056	0.262	0.851	0.668	0.358	""	Envelysin [Source:VB Community Annotation]
AGAP000037	0	0.039	0	0.062	0.857	0.158	0.587	0.48	0.043	0.004	0.945	0.003	0.823	0.001	0.501	0.006	0.754	0	0	0	0	0.127	0.484	0.001	0.16	0.098	0.127	0.49	""	""
AGAP006339	0	0	0.008	0.205	0.576	0.931	0.66	0.001	0	0.246	0.786	0.499	0.584	0.207	0.954	0.083	0.829	0.07	0.604	0.342	0.481	0.946	0.47	0.062	0.407	0.725	0.276	0.98	""	""
AGAP006935	0	0.003	0	0.517	0.028	0.339	0.086	0.377	0.082	0.014	0.006	0.005	0.001	0	0	0.01	0.001	0	0	0	0	0.586	0	0.078	0.204	0.112	0.55	0.204	""	""
AGAP010313	0	0	0	0	0	0	0	0	0	0.455	0.33	0.459	0.277	0.063	0.029	0	0.184	0	0	0.008	0.186	0.135	0.324	0.28	0.664	0.126	0.365	0.135	""	serine/threonine-protein kinase ATR [Source:VB Community Annotation]
AGAP005978	0	0.057	0	0	0	0.135	0.544	0.186	0.038	0.568	0	0.878	0	0.328	0	0.008	0	0	0.642	0.447	0.99	0.362	0.436	0.49	0.167	0.233	0.601	0.57	""	zinc finger and SCAN domain containing 2 [Source:VB Community Annotation]
AGAP006729	0	0.001	0	0	0.025	0	0.67	0	0	0	0	0	0	0.001	0.091	0.83	0	0	0	0	0	0	0.134	0.208	0.024	0.559	0.563	0.06	""	Ester hydrolase C11orf54 [Source:VB Community Annotation]
AGAP008288	0	0.731	0	0	0	0.149	0.868	0.467	0	0.066	0	0.208	0	0.002	0	0	0	0	0.001	0.01	0.473	0.004	0	0.256	0.116	0.24	0.119	0.22	TIM	timeless [Source:VB Community Annotation]
AGAP006961	0	0.002	0	0.087	0	0	0.002	0.001	0.004	0.233	0.303	0.091	0.092	0.978	0.709	0	0.005	0	0	0.001	0.234	0	0	0	0.001	0	0	0	""	molecular chaperone HtpG [Source:VB Community Annotation]
AGAP000792	0	0	0	0.003	0	0.09	0.162	0.224	0.202	0	0.025	0.104	0.239	0	0.001	0.012	0	0.01	0	0.167	0.004	0.813	0.013	0.523	0.664	0.273	0.97	0.273	""	Adenosylhomocysteinase [Source:UniProtKB/TrEMBL;Acc:Q7QE71]
AGAP003373	0	0	0.224	0.257	0.174	0	0	0	0	0.007	0.871	0.028	0.872	0.827	0.115	0.037	0	0	0	0	0.001	0.612	0	0.246	0.539	0.59	0.294	0.413	SCRB17	Class B Scavenger Receptor (CD36 domain) [Source:VB Community Annotation]
AGAP003933	0	0.029	0	0.239	0.237	0.566	0.705	0.654	0.307	0.347	0.161	0.312	0.175	0.467	0.132	0.054	0.864	0	0	0	0	0.47	0.698	0.727	0.726	0.503	0.633	0.931	""	""
AGAP008083	0	0.192	0	0	0.004	0.304	0.001	0.004	0.065	0.279	0.186	0.034	0.705	0.067	0.117	0.187	0.277	0	0.949	0	0.048	0.345	0.064	0	0.341	0	0.001	0.006	""	""
AGAP011318	0	0	0	0.273	0.072	0.666	0.72	0.358	0.083	0.965	0.032	0.99	0.076	0.319	0.014	0.05	0.754	0	0.471	0.534	0.829	0.762	0.894	0.029	0.211	0.001	0.06	0.001	""	Synaptogyrin [Source:VB Community Annotation]
AGAP006699	0	0	0.689	0	0.249	0	0.523	0.325	0.286	0.094	0.087	0.117	0.025	0.002	0.383	0	0	0	0	0.052	0.002	0.827	0.821	0.293	0.028	0.423	0.187	0.712	""	hairy and enhancer of split, invertebrate [Source:VB Community Annotation]
AGAP004870	0	0.001	0.008	0.769	0.371	0.001	0.302	0.561	0.224	0.005	0.003	0.001	0.001	0	0	0	0	0	0	0	0	0	0.261	0.439	0.985	0.316	0.791	0.991	""	tripeptidyl-peptidase II [Source:VB Community Annotation]
AGAP006478	0	0	0.401	0	0	0.182	0.026	0.092	0.06	0	0.001	0	0.002	0	0	0.026	0	0.944	0.001	0.925	0.127	0.159	0.016	0.579	0.457	0.537	0.841	0.984	""	Synaptic vesicle membrane protein VAT-1 homolog-like [Source:VB Community Annotation]
AGAP012982	0	0.001	0	0.108	0.394	0.375	0	0.007	0	0.161	0	0.032	0			0.026	0	0	0	0.001	0	0.807	0.973	0	0.002	0	0	0.001	GPROP3	long wavelength sensitive opsin [Source:VB Community Annotation]
AGAP007793	0	0.724	0.001	0	0.808	0.93	0.491	0.28	0.45	0.243	0.05	0.089	0.021	0.716	0.908	0	0	0.014	0.598	0.001	0.522	0.13	0	0.427	0.827	0.061	0.936	0.517	""	Regucalcin protein [Source:VB Community Annotation]
AGAP008486	0	0	0	0.007	0	0.041	0.499	0.715	0.642	0.075	0.423	0.243	0.706	0.875	0.474	0.21	0.119	0	0	0	0	0	0.842	0.028	0.369	0.895	0.677	0.971	""	Palmitoyltransferase (Fragment) [Source:UniProtKB/TrEMBL;Acc:Q7Q4M4]
AGAP028513	0	0	0	0	0.455	0.006	0.581	0.354	0.528	0.892	0.086	0.349	0.004	0.856	0.036	0	0	0.158	0	0.001	0	0.059	0.671	0.249	0.154	0.088	0.909	0.856	""	""
AGAP002790	0	0.036	0	0.059	0.998	0.786	0.967	0.645	0.122	0.139	0.892	0.053	0.637	0.758	0.525	0.118	0.616	0	0.011	0.097	0.105	0.2	0.328	0.896	0.636	0.923	0.782	0.908	""	amyloid beta A4 protein [Source:VB Community Annotation]
AGAP006480	0	0	0.051	0.445	0.001	0.9	0	0	0	0.178	0.019	0.001	0.985			0.638	0	0	0	0.246	0	0.008	0	0.219	0.755	0.936	0.001	0.481	""	""
AGAP000065	0	0.03	0	0.135	0.004	0.166	0.898	0.083	0.007	0.787	0.791	0.982	0.311	0.999	0.602	0.779	0.153	0	0	0	0	0.579	0.265	0	0.161	0.132	0.155	0.752	""	""
AGAP006433	0	0.327	0.881	0.411	0	0.013	0.003	0	0	0.559	0.02	0.444	0.55	0.479	0.001	0.013	0	0.653	0	0.583	0	0	0	0.013	0.548	0	0	0	""	""
AGAP003318	0	0	0	0.21	0.14	0.405	0.116	0.554	0.296	0.193	0.477	0.203	0.286	0.337	0.326	0.071	0.719	0	0	0.002	0	0.502	0.716	0.001	0.165	0.003	0.054	0.225	""	""
AGAP004382	0	0	0.008	0.46	0.001	0.342	0.216	0.719	0.001	0	0.004	0	0	0	0	0.949	0	0.283	0	0	0	0	0	0	0.002	0	0	0	GSTD3	glutathione S-transferase delta class 3 [Source:VB Community Annotation]
AGAP008282	0	0	0.022	0.625	0.579	0	0.43	0	0	0.006	0.891	0	0.869	0.001	0.949	0.002	0.182	0	0	0.256	0	0.022	0	0.11		0.439	0.139	0.035	D7r2	D7 short form salivary protein [Source:VB Community Annotation]
AGAP004209	0	0.001	0	0.475	0.235	0.693	0.884	0.819	0.357	0.09	0.922	0.453	0.226	0.385	0.548	0.224	0.791	0	0	0	0	0.427	0.276	0	0.112	0.083	0.144	0.514	""	diacylglycerol kinase (ATP dependent) [Source:VB Community Annotation]
AGAP008538	0	0.002	0	0	0.502	0.708	0.252	0.087	0	0.171	0.724	0.123	0.821	0.665	0.304	0.329	0.926	0	0	0.002	0	0.465	0.873	0.001	0.154	0.055	0.211	0.532	""	""
AGAP003400	0	0.019	0	0.001	0.796	0.661	0.967	0.638	0.362	0.731	0.002	0.499	0.147	0.374	0	0.097	0.624	0	0.314	0.983	0.525	0.464	0.204	0.468	0.229	0.003	0.234	0.026	""	""
AGAP008862	0	0	0.831	0.441	0	0.002	0.477	0.003	0	0.851	0.697	0.583	0.435	0.005	0.014	0.12	0.438	0.633	0.135	0.102	0.672	0	0.976	0	0.002	0	0.006	0	""	aubergine [Source:VB Community Annotation]
AGAP005866	0	0	0	0	0.008	0.61	0.154	0	0	0.541	0.02	0.767	0.075			0.946	0.206	0.028	0	0	0	0.607	0.009	0	0.179	0	0	0.002	""	glutamate decarboxylase [Source:VB Community Annotation]
AGAP005826	0	0	0.975	0	0	0.904	0.464	0.705	0.019	0.188	0	0.639	0	0.021	0	0.136	0.348	0	0.809	0.113	0.317	0.419	0.032	0.908	0.459	0.696	0.899	0.427	""	""
AGAP007086	0	0.01	0	0.035	0.23	0.668	0.66	0.337	0.038	0.013	0.87	0.11	0.167	0.029	0.981	0.073	0.992	0	0	0	0	0.757	0.802	0	0.008	0	0.051	0.259	""	Sodium channel protein [Source:UniProtKB/TrEMBL;Acc:Q7QIV0]
AGAP000232	0	0	0.002	0.205	0.838	0.337	0.23	0.502	0.156	0.007	0.411	0.013	0.319	0	0.932	0.08	0.941	0	0	0	0	0.822	0.041	0	0.095	0.001	0.181	0.431	""	regulator of G-protein signaling [Source:VB Community Annotation]
AGAP005913	0	0	0.189	0	0.016	0.887	0.012	0.455	0.722	0.295	0.148	0.228	0.094	0.042	0.028	0	0.597	0.057	0	0	0	0.61	0.088	0.593	0.381	0.367	0.802	0.738	""	guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-1 [Source:VB Community Annotation]
AGAP005241	0	0.223	0.691	0.067	0	0.85	0.06	0	0.001	0.681	0.041	0.995	0.202	0.701	0.336	0	0	0.001	0.037	0.528	0.025	0.799	0	0.003	0.153	0	0.004	0	""	""
AGAP008963	0	0.012	0.039	0	0.482	0.152	0.136	0	0	0.003	0	0.697	0.46	0.015	0.003	0.003	0	0.007	0.123	0.728	0.018	0.529	0	0.708	0.755	0.825	0.701	0.675	""	""
AGAP004033	0	0.003	0	0.054	0.741	0.859	0.829	0.363	0.082	0.208	0.699	0.473	0.365	0.883	0.112	0.159	0.656	0	0	0.055	0.043	0.87	0.706	0.075	0.407	0.423	0.276	0.81	""	""
AGAP001899	0	0.024	0.153	0.325	0	0.844	0	0	0.001	0.685	0.374	0.659	0.048	0.85	0.625	0.898	0	0	0.996	0.966	0.206	0.905	0	0	0	0	0.004	0.001	""	fatty acid synthase, animal type [Source:VB Community Annotation]
AGAP009995	0	0.008	0	0.032	0	0.785	0.249	0.344	0.1	0.712	0.44	0.664	0.344	0.918	0.137	0.978	0.02	0	0	0	0	0.89	0.251	0.006	0.256	0.026	0.225	0.296	""	anoctamin 10 [Source:VB Community Annotation]
AGAP000449	0	0.699	0	0	0.086	0.143	0.239	0.781	0.193	0.481	0.542	0.428	0.441	0.472	0.52	0.829	0.999	0	0.014	0.053	0.037	0.842	0.012	0.003	0.104	0.001	0.139	0.378	""	""
AGAP000203	0	0.001	0	0.629	0	0.603	0.848	0.817	0.415	0.649	0.385	0.325	0.59	0.729	0.071	0.872	0.787	0	0.399	0.33	0.314	0.004	0.018	0.18	0.483	0.041	0.049	0.098	""	inositol-1,4,5-trisphosphate 5-phosphatase [Source:VB Community Annotation]
AGAP009598	0	0.011	0	0.001	0.062	0.302	0.836	0.506	0.079	0.008	0.555	0.004	0.702	0.024	0.636	0.032	0.27	0	0.004	0.245	0.014	0.829	0.226	0.15	0.612	0.482	0.715	0.968	""	voltage-dependent calcium channel alpha-2/delta, invertebrate [Source:VB Community Annotation]
AGAP005845	0	0	0.002	0.266	0.745	0	0.088	0	0.002	0.563	0.015	0.761	0.064	0.462	0.784	0.001	0.156	0.09	0.005	0.011	0.057	0.415	0.015	0.006	0.149	0	0.007	0	""	V-type H+-transporting ATPase subunit C [Source:VB Community Annotation]
AGAP003638	0	0	0.056	0.002	0	0.014	0.779	0.004	0.016	0.228	0.001	0.144	0.008	0.001	0.172	0.601	0	0.001	0.159	0	0	0.172	0	0.882	0.863	0.816	0.666	0.931	""	""
AGAP005254	0	0	0	0.835	0.015	0.909	0.629	0.007	0	0.339	0.265	0.184	0.574	0.285	0.383	0.132	0.795	0	0	0	0	0.72	0.036	0	0.057	0.003	0.032	0.171	""	""
AGAP001526	0	0	0.265	0.371	0.586	0.403	0.293	0.016	0.134	0.501	0.04	0.506	0.547	0.448	0.629	0.012	0	0.003	0.705	0.903	0.001	0.1	0.004	0.982	0.815	0.808	0.926	0.575	""	RIO kinase 2 [Source:VB Community Annotation]
AGAP029047	0	0.523	0	0.147	0.586	0.585	0.679	0.75	0.369	0.117	0.863	0.265	0.903	0.171	0.87	0.817	0.951	0	0	0	0	0.977	0.001	0.001	0.243	0.262	0.383	0.851	""	""
AGAP011106	0	0.043	0.89	0	0.001	0.002	0.008	0.007	0.032			0.057	0.012	0.032	0.005	0	0	0	0.057	0.171	0.002	0.001	0.043	0.246	0.473	0.187	0.165	0.435	""	""
AGAP007127	0	0	0	0.108	0.702	0.952	0.99	0.141	0.004	0.237	0.335	0.337	0.376	0.376	0.693	0.062	0.762	0	0.958	0.875	0.847	0.402	0.823	0	0.167	0.017	0.124	0.313	""	regulator of G-protein signaling [Source:VB Community Annotation]
AGAP001883	0	0.899	0.796	0	0	0.364	0.768	0.556	0.515	0.054	0	0.003	0	0.003	0	0.617	0.092	0.002	0.256	0.557	0.098	0.853	0.205	0.041	0.156	0	0.293	0.351	""	ELAV (embryonic lethal, abnormal vision Drosophila)-like [Source:VB Community Annotation]
AGAP001474	0	0.126	0	0.376	0.002	0.814	0	0.283	0.074	0.435	0.13	0.074	0.025	0.032	0.006	0	0.04	0.614	0	0	0	0.391	0.677	0.567	0.971	0.413	0.695	0.976	MSN	myosuppressin [Source:VB Community Annotation]
AGAP002089	0	0.074	0	0	0.903	0.31	0	0	0	0.401	0.383	0.016	0.043	0.043	0.036	0.874	0.117	0	0.003	0.029	0.001	0.09	0.953	0.012	0.341	0	0.09	0.007	""	""
AGAP000805	0	0	0	0.179	0.678	0.113	0.087	0.852	0.483	0.442	0.916	0.415	0.912	0.695	0.717	0.002	0.889	0	0	0	0	0.125	0.269	0	0.122	0.011	0.168	0.499	""	BTB/POZ domain-containing protein KCTD16 [Source:VB Community Annotation]
AGAP006434	0	0.384	0.352	0.14	0	0.028	0.031	0	0	0.992	0.006	0.473	0.433	0.686	0.039	0	0	0.499	0.001	0.531	0	0	0	0	0.558	0.212	0.803	0.237	""	""
AGAP000342	0	0.017	0.003	0	0	0.212	0.005	0.061	0.065	0.885	0.324	0.282	0.041	0.686	0.254	0	0.008	0	0	0	0	0.867	0.903	0.353	0.145	0.733	0.895	0.62	""	inhibin, beta [Source:VB Community Annotation]
AGAP005079	0	0	0	0.109	0	0.073	0.005	0	0	0.034	0	0.986	0.002	0.125	0	0.147	0	0	0.007	0.002	0.013	0.976	0.013	0	0.181	0	0.011	0.026	""	guanine nucleotide-binding protein G(q) alpha subunit [Source:VB Community Annotation]
AGAP006756	0	0	0	0.009	0.099	0	0	0	0	0.14	0.283	0.005	0.056	0.039	0.19	0.008	0.196	0	0.785	0.168	0.587	0.161	0	0	0.127	0	0	0	""	""
AGAP013149	0	0.014	0	0.524	0.964	0.002	0	0.882	0.643	0.161	0	0.032	0			0.003	0	0.003	0	0.001	0	0.807	0.331	0	0.002	0	0	0.001	GPROP1	long wavelength sensitive opsin [Source:VB Community Annotation]
AGAP004581	0	0.943	0	0	0.001	0	0	0.24	0.557	0.658	0.665			0.224		0	0	0.161	0	0.021	0.367	0.099	0	0	0.18	0	0	0	""	heat shock protein 70kDa [Source:VB Community Annotation]
AGAP009477	0	0.113	0.004	0.104	0	0.667	0.048	0.568	0.625	0.653	0.011	0.074	0	0	0	0	0.028	0.007	0.04	0.207	0.027	0.103	0.001	0.949	0.834	0.18	0.978	0.435	""	bruno [Source:VB Community Annotation]
AGAP010260	0	0.108	0	0	0.742	0.663	0.016	0.101	0	0.818	0.072	0.734	0.053	0.416	0.009	0.547	0.689	0.001	0	0	0	0.694	0.907	0.275	0.339	0	0.152	0.173	""	""
AGAP004883	0	0.006	0.134	0.394	0	0.126	0	0	0	0.012	0	0.471	0.085	0.894	0.402	0	0	0.008	0.114	0.498	0.023		0	0.01	0.45	0.716	0.016	0.339	""	""
AGAP007065	0	0	0.528	0	0.057	0.516	0.748	0.248	0.124	0.892	0.398	0.994	0.389	0.459	0.754	0.008	0.27	0	0.002	0.401	0.394	0.66	0.002	0.49	0.983	0.966	0.937	0.779	""	transcription factor CP2 and related proteins [Source:VB Community Annotation]
AGAP004827	0	0.001	0	0	0	0.549	0.526	0.006	0	0.106	0.165	0.523	0.004	0.437	0.048	0.073	0.029	0.001	0	0	0	0	0.821	0	0.031	0.001	0.006	0.066	""	""
AGAP012635	0	0	0.017	0	0	0	0	0	0	0.834	0.37	0.111	0.372	0.267	0.635	0	0.75	0.001	0.01	0.916	0.082	0.932	0	0.038	0.589	0	0.002	0	""	""
AGAP006511	0	0	0.134	0.006	0.998	0.092	0.463	0.087	0.001	0.88	0.007	0.521	0.001	0.021	0	0.25	0.069	0.003	0.09	0.262	0.457	0.115	0.091	0.335	0.213	0.084	0.482	0.106	""	histone deacetylase 1/2 [Source:VB Community Annotation]
AGAP001200	0	0.028	0.396	0.672	0.586	0.371	0	0	0	0.013	0.808	0.001	0.864	0	0.538	0.746	0.021	0.03	0.524	0.6	0.278	0	0.115	0.554	0.164	0.172	0.027	0.269	""	glycogen debranching enzyme [Source:VB Community Annotation]
AGAP002529	0	0.023	0	0.07	0.224	0.487	0.893	0.314	0.009	0.245	0.856	0.529	0.259	0.74	0.491	0.103	0.769	0	0	0	0	0.456	0.943	0	0.111	0.001	0.094	0.374	""	phosphatidylinositol phospholipase C, epsilon [Source:VB Community Annotation]
AGAP000965	0	0.195	0	0	0	0.633	0.837	0.491	0.147	0.928	0.033	0.877	0.019	0.298	0	0.047	0.68	0	0	0.001	0	0.821	0.018	0.037	0.111	0.116	0.379	0.803	""	ELAV (embryonic lethal, abnormal vision Drosophila)-like [Source:VB Community Annotation]
AGAP001800	0	0.001	0	0.009	0.035	0.315	0.723	0.673	0.182	0.322	0.016	0.333	0.029	0.068	0.003	0.005	0.421	0	0.055	0.048	0.043	0.907	0.463	0.076	0.218	0.031	0.177	0.275	""	Synaptotagmin [Source:VB Community Annotation]
AGAP002176	0	0.151	0	0	0.376	0.904	0.002	0.005	0.001	0.797	0.162	0.497	0.067	0.045	0.004	0.1	0.277	0	0	0	0	0.957	0.168	0.818	0.776	0.425	0.563	0.574	""	proprotein convertase subtilisin/kexin type 2 [Source:VB Community Annotation]
AGAP000104	0	0.034	0	0.771	0	0.888	0.035	0.495	0.381	0.533	0.08	0.048	0	0	0	0.851	0	0	0	0	0	0.36	0	0.776	0.603	0.759	0.935	0.556	""	""
AGAP008143	0	0.169	0	0.205	0.138	0	0	0	0	0.444	0	0.642	0.003	0	0	0.884	0	0	0	0.093	0.001	0.061	0	0.717	0.84	0.927	0.591	0.544	""	""
AGAP002291	0	0.857	0.047	0.014	0.513	0.89	0.488	0	0	0.207	0.202	0.967	0.002	0.394	0	0.08	0.094	0	0.394	0.614	0.081	0.258	0.071	0	0.04	0	0	0	""	ebony [Source:VB Community Annotation]
AGAP004243	0	0.395	0.001	0	0.615	0.001	0.018	0	0	0.981	0.002	0.603	0	0.134	0	0.001	0	0.551	0.025	0.01	0.012	0	0.373	0.427	0.883	0.129	0.61	0.25	""	""
AGAP007003	0	0.09	0.139	0.001	0.486	0	0	0.002	0	0.128	0	0.048	0	0.253	0	0.395	0.435	0.833	0.873	0.435	0.568	0.025	0.989	0	0.027	0	0.002	0	""	""
AGAP005892	0	0	0.893	0	0	0.983	0.409	0.751	0.983	0.001	0	0.003	0	0	0	0.25	0.145	0.386	0.011	0.007	0.046	0	0.637	0.288	0.413	0.268	0.674	0.19	""	importin beta-2 [Source:VB Community Annotation]
AGAP004476	0	0	0	0.017	0.295	0.801	0.557	0.003	0	0.27	0	0.029	0	0.087	0	0	0.041	0	0.402	0.942	0.711	0.421	0.064	0.036	0.254	0.015	0.165	0.208	""	solute carrier family 18 (vesicular monoamine), member 2 [Source:VB Community Annotation]
AGAP000213	0	0.048	0	0	0	0.795	0.402	0.774	0.016	0.971	0.003	0.674	0.006	0.021	0	0.226	0.001	0	0	0	0	0.796	0.002	0.468	0.826	0.978	0.582	0.958	""	ankyrin repeat and SOCS box protein 17 [Source:VB Community Annotation]
AGAP010498	0	0	0.652	0.63	0.008	0	0.013	0	0	0.025	0.381	0.336	0.011	0.1	0.01	0.974	0.015	0	0.671	0.659	0.011	0.749	0.001	0.496	0.21	0.664	0.566	0.468	""	RNA 3'-terminal phosphate cyclase-like protein [Source:VB Community Annotation]
AGAP010604	0	0.007	0	0	0.12	0.312	0	0.012	0.009	0.88	0.211	0.995	0.208	0.072	0.353	0.129	0.004	0.369	0	0.001	0.018	0	0.025	0.638	0.809	0.873	0.131	0.864	""	Insulin-like peptide 3 precursor [Source:VB Community Annotation]
AGAP010722	0	0	0.199	0.629	0.066	0	0	0	0	0.884	0.004	0.457	0	0.063	0	0.491	0	0.775	0.462	0.063	0.759	0.287	0.076	0.48	0.457	0.266	0.913	0.617	""	""
AGAP007992	0	0	0	0.007	0.082	0.949	0.394	0.068	0	0.811	0.545	0.944	0.334	0.748	0.243	0	0.65	0	0	0	0	0.726	0.571	0.004	0.097	0.007	0.114	0.409	""	Vesicular glutamate transporter 2 [Source:VB Community Annotation]
AGAP000329	0	0.061	0	0	0.584	0.477	0.981	0.575	0.124	0.207	0.999	0.531	0.329	0.642	0.548	0.122	0.611	0	0	0.007	0	0.866	0.901	0.025	0.252	0.349	0.475	0.745	alpha3	nicotinic acetylcholine receptor subunit alpha 3 [Source:VB Community Annotation]
AGAP008227	0	0.032	0.134	0.581	0.001	0	0	0	0	0.071	0.804	0.022	0.805	0.081	0.912	0.496	0	0	0.377	0.277	0.006	0.002	0	0.617	0.874	0.841	0.855	0.847	""	trehalose 6-phosphate synthase/phosphatase [Source:VB Community Annotation]
