GeneID	GeneName	GeneDescription	Tiefora_v_Ngousso	Ban_v_BanS	BanRe_v_BanS	Bak_v_Kisumu	VK7_v_Kisumu	Cameroon_v_Ngousso	Chad_v_Ngousso	Niger_v_Ngousso	Nigeria_v_Ngousso	Agboville_v_Mali	Agboville_v_Ngousso	Dabou_v_Mali	Dabou_v_Ngousso	Tiassale_v_Mali	Tiassale_v_Ngousso	Bouake_gamb_unexp_v_Kisumu	Bouake_colu_unexp_v_Ngousso	BusiaSurvivors_v_Kisumu	Asendabo_v_Moz	Chewaka_v_Moz	Tolay_v_Moz	Ethiopia_v_Dongola	Gou_v_Moz
AGAP011318		Synaptogyrin [Source:VB Community Annotation]	0.0	0.0	0.0	0.272	0.072	0.667	0.721	0.358	0.085	0.965	0.032	0.991	0.076	0.319	0.014	0.05	0.754	0.0	0.471	0.529	0.839	0.767	0.895
AGAP006699		hairy and enhancer of split, invertebrate [Source:VB Community Annotation]	0.0	0.0	0.702	0.0	0.249	0.0	0.524	0.326	0.293	0.094	0.086	0.118	0.025	0.002	0.382	0.0	0.0	0.0	0.0	0.051	0.002	0.83	0.821
AGAP004870		tripeptidyl-peptidase II [Source:VB Community Annotation]	0.0	0.001	0.008	0.767	0.372	0.001	0.303	0.561	0.23	0.005	0.003	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.262
AGAP006478		Synaptic vesicle membrane protein VAT-1 homolog-like [Source:VB Community Annotation]	0.0	0.0	0.413	0.0	0.0	0.182	0.026	0.092	0.061	0.0	0.001	0.0	0.002	0.0	0.0	0.026	0.0	0.941	0.001	0.925	0.133	0.163	0.016
AGAP012982	GPROP3	long wavelength sensitive opsin [Source:VB Community Annotation]	0.0	0.001	0.0	0.107	0.393	0.375	0.0	0.007	0.001	0.161	0.0	0.032	0.0			0.026	0.0	0.0	0.0	0.001	0.0	0.812	0.973
AGAP007793		Regucalcin protein [Source:VB Community Annotation]	0.0	0.725	0.001	0.0	0.81	0.931	0.492	0.28	0.459	0.244	0.05	0.09	0.021	0.717	0.908	0.0	0.0	0.014	0.599	0.001	0.535	0.133	0.0
AGAP008486		Palmitoyltransferase (Fragment) [Source:UniProtKB/TrEMBL;Acc:Q7Q4M4]	0.0	0.0	0.0	0.008	0.0	0.041	0.5	0.715	0.651	0.075	0.424	0.244	0.709	0.874	0.473	0.21	0.119	0.0	0.0	0.0	0.0	0.0	0.841
AGAP028513			0.0	0.0	0.0	0.0	0.454	0.006	0.581	0.355	0.538	0.892	0.086	0.35	0.004	0.855	0.036	0.0	0.0	0.159	0.0	0.001	0.0	0.06	0.672
AGAP002790		amyloid beta A4 protein [Source:VB Community Annotation]	0.0	0.036	0.0	0.058	0.997	0.788	0.967	0.645	0.125	0.139	0.893	0.053	0.639	0.759	0.525	0.118	0.617	0.0	0.011	0.095	0.109	0.204	0.328
AGAP006480			0.0	0.0	0.053	0.445	0.001	0.901	0.0	0.0	0.0	0.178	0.019	0.001	0.984			0.638	0.0	0.0	0.0	0.242	0.0	0.009	0.0
AGAP000065			0.0	0.03	0.0	0.136	0.005	0.167	0.898	0.083	0.007	0.788	0.791	0.982	0.31	1.0	0.601	0.779	0.153	0.0	0.0	0.0	0.0	0.584	0.265
AGAP006433			0.0	0.327	0.891	0.411	0.0	0.013	0.003	0.0	0.0	0.56	0.021	0.445	0.552	0.48	0.001	0.013	0.0	0.655	0.0	0.579	0.0	0.0	0.0
AGAP003318			0.0	0.0	0.0	0.209	0.14	0.405	0.117	0.555	0.303	0.194	0.477	0.204	0.285	0.339	0.326	0.071	0.719	0.0	0.0	0.002	0.0	0.509	0.715
AGAP004382	GSTD3	glutathione S-transferase delta class 3 [Source:VB Community Annotation]	0.0	0.0	0.009	0.46	0.001	0.343	0.217	0.719	0.001	0.0	0.004	0.0	0.0	0.0	0.0	0.949	0.0	0.282	0.0	0.0	0.0	0.0	0.0
AGAP008282	D7r2	D7 short form salivary protein [Source:VB Community Annotation]	0.0	0.0	0.023	0.625	0.579	0.0	0.43	0.0	0.0	0.006	0.891	0.0	0.869	0.001	0.948	0.002	0.182	0.0	0.0	0.252	0.0	0.023	0.0
AGAP004209		diacylglycerol kinase (ATP dependent) [Source:VB Community Annotation]	0.0	0.001	0.0	0.474	0.235	0.695	0.885	0.819	0.365	0.091	0.923	0.454	0.226	0.386	0.548	0.224	0.792	0.0	0.0	0.0	0.0	0.433	0.275
AGAP008538			0.0	0.002	0.0	0.0	0.501	0.71	0.252	0.087	0.0	0.172	0.724	0.124	0.821	0.666	0.304	0.329	0.926	0.0	0.0	0.002	0.0	0.471	0.872
AGAP003400			0.0	0.019	0.0	0.001	0.796	0.663	0.967	0.639	0.369	0.732	0.002	0.5	0.147	0.374	0.0	0.097	0.625	0.0	0.314	0.983	0.54	0.47	0.205
AGAP005866		glutamate decarboxylase [Source:VB Community Annotation]	0.0	0.0	0.0	0.0	0.008	0.611	0.154	0.0	0.0	0.542	0.02	0.77	0.075			0.946	0.207	0.028	0.0	0.0	0.0	0.612	0.009
AGAP008862		aubergine [Source:VB Community Annotation]	0.0	0.0	0.846	0.441	0.0	0.002	0.477	0.003	0.0	0.852	0.699	0.585	0.437	0.005	0.014	0.12	0.439	0.636	0.135	0.1	0.691	0.0	0.976
AGAP005826			0.0	0.0	0.977	0.0	0.0	0.905	0.463	0.705	0.02	0.188	0.0	0.64	0.0	0.021	0.0	0.136	0.349	0.0	0.807	0.111	0.324	0.425	0.032
AGAP007086		Sodium channel protein [Source:UniProtKB/TrEMBL;Acc:Q7QIV0]	0.0	0.01	0.0	0.035	0.23	0.669	0.661	0.338	0.038	0.013	0.87	0.111	0.167	0.029	0.982	0.077	0.991	0.0	0.0	0.0	0.0	0.763	0.803
AGAP005913		guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-1 [Source:VB Community Annotation]	0.0	0.0	0.196	0.0	0.016	0.888	0.012	0.456	0.73	0.295	0.149	0.229	0.094	0.042	0.028	0.0	0.598	0.059	0.0	0.0	0.0	0.615	0.088
AGAP000232		regulator of G-protein signaling [Source:VB Community Annotation]	0.0	0.0	0.002	0.205	0.839	0.338	0.23	0.503	0.16	0.007	0.411	0.013	0.319	0.0	0.931	0.08	0.941	0.0	0.0	0.0	0.0	0.826	0.041
AGAP005241			0.0	0.224	0.706	0.066	0.0	0.852	0.06	0.0	0.001	0.682	0.042	0.995	0.203	0.702	0.336	0.0	0.0	0.001	0.037	0.524	0.027	0.804	0.0
AGAP004033			0.0	0.003	0.0	0.053	0.742	0.86	0.83	0.364	0.084	0.208	0.699	0.474	0.365	0.884	0.112	0.159	0.657	0.0	0.0	0.054	0.044	0.873	0.707
AGAP008963			0.0	0.012	0.04	0.0	0.483	0.153	0.136	0.0	0.0	0.003	0.0	0.697	0.461	0.015	0.003	0.003	0.0	0.007	0.123	0.723	0.019	0.534	0.0
AGAP009995		anoctamin 10 [Source:VB Community Annotation]	0.0	0.008	0.0	0.031	0.0	0.786	0.249	0.345	0.103	0.712	0.441	0.665	0.343	0.917	0.137	0.979	0.02	0.0	0.0	0.0	0.0	0.893	0.252
AGAP001899		fatty acid synthase, animal type [Source:VB Community Annotation]	0.0	0.024	0.158	0.325	0.0	0.845	0.0	0.0	0.001	0.686	0.374	0.659	0.048	0.851	0.625	0.898	0.0	0.0	0.995	0.965	0.216	0.906	0.0
AGAP000449			0.0	0.7	0.0	0.0	0.085	0.144	0.239	0.781	0.197	0.482	0.544	0.43	0.445	0.474	0.522	0.829	0.999	0.0	0.014	0.052	0.038	0.846	0.013
AGAP000203		inositol-1,4,5-trisphosphate 5-phosphatase [Source:VB Community Annotation]	0.0	0.001	0.0	0.631	0.0	0.604	0.849	0.817	0.424	0.65	0.384	0.326	0.589	0.73	0.071	0.872	0.787	0.0	0.398	0.326	0.323	0.005	0.018
AGAP009598		voltage-dependent calcium channel alpha-2/delta, invertebrate [Source:VB Community Annotation]	0.0	0.011	0.0	0.001	0.061	0.302	0.836	0.507	0.081	0.008	0.555	0.004	0.702	0.024	0.636	0.032	0.27	0.0	0.004	0.242	0.014	0.833	0.227
AGAP005845		V-type H+-transporting ATPase subunit C [Source:VB Community Annotation]	0.0	0.0	0.002	0.267	0.746	0.0	0.088	0.0	0.002	0.564	0.015	0.761	0.064	0.464	0.783	0.001	0.156	0.089	0.005	0.011	0.06	0.419	0.015
AGAP003638			0.0	0.0	0.057	0.002	0.0	0.014	0.779	0.004	0.016	0.228	0.001	0.144	0.008	0.001	0.171	0.602	0.0	0.001	0.16	0.0	0.0	0.176	0.0
AGAP005254			0.0	0.0	0.0	0.836	0.015	0.909	0.629	0.007	0.0	0.34	0.266	0.185	0.574	0.286	0.384	0.132	0.795	0.0	0.0	0.0	0.0	0.726	0.035
AGAP029047			0.0	0.525	0.0	0.146	0.585	0.585	0.68	0.75	0.377	0.117	0.864	0.266	0.903	0.172	0.871	0.817	0.951	0.0	0.0	0.0	0.0	0.978	0.001
AGAP001526		RIO kinase 2 [Source:VB Community Annotation]	0.0	0.0	0.273	0.37	0.586	0.404	0.293	0.016	0.137	0.502	0.039	0.508	0.545	0.45	0.628	0.012	0.0	0.002	0.703	0.901	0.001	0.101	0.004
AGAP007127		regulator of G-protein signaling [Source:VB Community Annotation]	0.0	0.0	0.0	0.108	0.703	0.952	0.99	0.141	0.004	0.238	0.335	0.338	0.376	0.377	0.693	0.062	0.762	0.0	0.957	0.873	0.861	0.407	0.824
AGAP011106			0.0	0.043	0.898	0.0	0.001	0.002	0.008	0.008	0.033			0.057	0.012	0.032	0.005	0.0	0.0	0.0	0.057	0.169	0.002	0.001	0.043
AGAP001883		ELAV (embryonic lethal, abnormal vision Drosophila)-like [Source:VB Community Annotation]	0.0	0.899	0.811	0.0	0.0	0.365	0.769	0.557	0.524	0.054	0.0	0.003	0.0	0.003	0.0	0.617	0.092	0.002	0.257	0.552	0.101	0.857	0.205
AGAP001474	MSN	myosuppressin [Source:VB Community Annotation]	0.0	0.126	0.0	0.375	0.003	0.815	0.0	0.284	0.076	0.436	0.13	0.074	0.025	0.032	0.006	0.0	0.04	0.617	0.0	0.0	0.0	0.397	0.678
AGAP002089			0.0	0.075	0.0	0.0	0.902	0.311	0.0	0.0	0.0	0.402	0.384	0.016	0.043	0.043	0.036	0.874	0.118	0.0	0.003	0.028	0.001	0.092	0.951
AGAP000805		BTB/POZ domain-containing protein KCTD16 [Source:VB Community Annotation]	0.0	0.0	0.0	0.179	0.679	0.114	0.087	0.852	0.493	0.443	0.915	0.417	0.911	0.697	0.716	0.002	0.89	0.0	0.0	0.0	0.0	0.128	0.269
AGAP006434			0.0	0.385	0.361	0.14	0.0	0.029	0.031	0.0	0.0	0.992	0.006	0.473	0.434	0.688	0.039	0.0	0.0	0.498	0.001	0.527	0.0	0.0	0.0
AGAP000342		inhibin, beta [Source:VB Community Annotation]	0.0	0.017	0.003	0.0	0.0	0.213	0.005	0.062	0.067	0.885	0.324	0.282	0.041	0.687	0.254	0.0	0.008	0.0	0.0	0.0	0.0	0.87	0.902
AGAP005079		guanine nucleotide-binding protein G(q) alpha subunit [Source:VB Community Annotation]	0.0	0.0	0.0	0.11	0.0	0.073	0.005	0.0	0.0	0.034	0.0	0.986	0.002	0.125	0.0	0.147	0.0	0.0	0.007	0.002	0.014	0.977	0.013
AGAP006756			0.0	0.0	0.0	0.009	0.099	0.0	0.0	0.0	0.0	0.14	0.283	0.005	0.056	0.039	0.189	0.008	0.196	0.0	0.786	0.165	0.606	0.164	0.0
AGAP013149	GPROP1	long wavelength sensitive opsin [Source:VB Community Annotation]	0.0	0.014	0.0	0.524	0.964	0.002	0.0	0.882	0.652	0.161	0.0	0.032	0.0			0.003	0.0	0.003	0.0	0.001	0.0	0.812	0.33
AGAP004581		heat shock protein 70kDa [Source:VB Community Annotation]	0.0	0.943	0.0	0.0	0.001	0.0	0.0	0.24	0.567	0.66	0.665		0.981	0.225		0.0	0.0	0.161	0.0	0.02	0.383	0.101	0.0
AGAP010260			0.0	0.109	0.0	0.0	0.742	0.664	0.016	0.101	0.0	0.818	0.073	0.735	0.053	0.416	0.009	0.547	0.69	0.001	0.0	0.0	0.0	0.7	0.907
AGAP009477		bruno [Source:VB Community Annotation]	0.0	0.113	0.004	0.103	0.0	0.669	0.048	0.568	0.635	0.654	0.011	0.074	0.0	0.0	0.0	0.0	0.028	0.007	0.039	0.204	0.028	0.104	0.001
AGAP004883			0.0	0.006	0.138	0.395	0.0	0.126	0.0	0.0	0.0	0.012	0.0	0.471	0.085	0.895	0.402	0.0	0.0	0.008	0.115		0.024	0.535	0.0
AGAP007065		transcription factor CP2 and related proteins [Source:VB Community Annotation]	0.0	0.0	0.538	0.0	0.057	0.517	0.749	0.249	0.128	0.892	0.398	0.993	0.389	0.462	0.753	0.008	0.27	0.0	0.002	0.397	0.41	0.665	0.002
AGAP004827			0.0	0.001	0.0	0.0	0.0	0.55	0.525	0.006	0.0	0.107	0.165	0.524	0.004	0.438	0.048	0.073	0.029	0.001	0.0	0.0	0.0	0.0	0.819
AGAP012635			0.0	0.0	0.018	0.0	0.0	0.0	0.0	0.0	0.0	0.834	0.37	0.111	0.373	0.269	0.636	0.0	0.75	0.001	0.01	0.914	0.085	0.934	0.0
AGAP006511		histone deacetylase 1/2 [Source:VB Community Annotation]	0.0	0.0	0.138	0.006	0.999	0.092	0.463	0.087	0.001	0.881	0.007	0.522	0.001	0.022	0.0	0.25	0.069	0.003	0.09	0.258	0.469	0.117	0.091
AGAP002529		phosphatidylinositol phospholipase C, epsilon [Source:VB Community Annotation]	0.0	0.024	0.0	0.07	0.223	0.488	0.894	0.315	0.009	0.245	0.856	0.53	0.259	0.742	0.491	0.103	0.768	0.0	0.0	0.0	0.0	0.462	0.944
AGAP001200		glycogen debranching enzyme [Source:VB Community Annotation]	0.0	0.028	0.406	0.672	0.585	0.372	0.0	0.0	0.0	0.013	0.808	0.001	0.863	0.0	0.539	0.746	0.021	0.03	0.524	0.595	0.29	0.0	0.115
AGAP000965		ELAV (embryonic lethal, abnormal vision Drosophila)-like [Source:VB Community Annotation]	0.0	0.196	0.0	0.0	0.0	0.634	0.838	0.492	0.151	0.929	0.033	0.877	0.019	0.298	0.0	0.047	0.681	0.0	0.0	0.001	0.0	0.824	0.018
AGAP001800		Synaptotagmin [Source:VB Community Annotation]	0.0	0.001	0.0	0.009	0.035	0.316	0.724	0.673	0.186	0.323	0.016	0.334	0.029	0.068	0.003	0.005	0.421	0.0	0.055	0.047	0.045	0.909	0.463
AGAP002176		proprotein convertase subtilisin/kexin type 2 [Source:VB Community Annotation]	0.0	0.151	0.0	0.0	0.376	0.905	0.002	0.005	0.001	0.798	0.163	0.497	0.066	0.045	0.004	0.1	0.278	0.0	0.0	0.0	0.0	0.958	0.168
AGAP000104			0.0	0.034	0.0	0.77	0.0	0.889	0.035	0.495	0.39	0.535	0.08	0.048	0.0	0.0	0.0	0.851	0.0	0.0	0.0	0.0	0.0	0.363	0.0
AGAP008143			0.0	0.169	0.0	0.205	0.138	0.0	0.0	0.0	0.0	0.445	0.0	0.643	0.003	0.0	0.0	0.884	0.0	0.0	0.0	0.091	0.001	0.062	0.0
AGAP002291		ebony [Source:VB Community Annotation]	0.0	0.858	0.048	0.014	0.513	0.891	0.489	0.0	0.0	0.207	0.202	0.968	0.002	0.394	0.0	0.08	0.094	0.0	0.393	0.61	0.084	0.262	0.072
AGAP004243			0.0	0.396	0.001	0.0	0.615	0.001	0.018	0.0	0.0	0.98	0.002	0.604	0.0	0.134	0.0	0.001	0.0	0.553	0.026	0.009	0.013	0.0	0.373
AGAP004476		solute carrier family 18 (vesicular monoamine), member 2 [Source:VB Community Annotation]	0.0	0.0	0.0	0.017	0.295	0.803	0.557	0.003	0.0	0.271	0.0	0.029	0.0	0.087	0.0	0.0	0.041	0.0	0.402	0.941	0.723	0.428	0.064
AGAP005892		importin beta-2 [Source:VB Community Annotation]	0.0	0.0	0.904	0.0	0.0	0.983	0.41	0.751	0.983	0.001	0.0	0.003	0.0	0.0	0.0	0.25	0.146	0.382	0.011	0.007	0.049	0.0	0.636
AGAP007003			0.0	0.09	0.142	0.001	0.486	0.0	0.0	0.002	0.0	0.128	0.0	0.048	0.0	0.254	0.0	0.395	0.435	0.836	0.873	0.431	0.583	0.025	0.988
AGAP000213		ankyrin repeat and SOCS box protein 17 [Source:VB Community Annotation]	0.0	0.048	0.0	0.0	0.0	0.796	0.403	0.773	0.017	0.971	0.003	0.675	0.006	0.021	0.0	0.226	0.001	0.0	0.0	0.0	0.0	0.801	0.002
AGAP010498		RNA 3'-terminal phosphate cyclase-like protein [Source:VB Community Annotation]	0.0	0.0	0.667	0.63	0.008	0.0	0.013	0.0	0.0	0.025	0.382	0.337	0.011	0.1	0.011	0.975	0.015	0.0	0.67	0.654	0.011	0.754	0.001
AGAP010604		Insulin-like peptide 3 precursor [Source:VB Community Annotation]	0.0	0.007	0.0	0.0	0.12	0.313	0.0	0.012	0.009	0.881	0.212	0.995	0.209	0.072	0.353	0.129	0.004	0.366	0.0	0.001	0.018	0.0	0.025
AGAP007992		Vesicular glutamate transporter 2 [Source:VB Community Annotation]	0.0	0.0	0.0	0.007	0.082	0.949	0.394	0.068	0.0	0.811	0.546	0.945	0.333	0.749	0.243	0.0	0.65	0.0	0.0	0.0	0.0	0.732	0.571
AGAP010722			0.0	0.0	0.203	0.629	0.066	0.0	0.0	0.0	0.0	0.884	0.004	0.458	0.0	0.063	0.0	0.492	0.0	0.771	0.463	0.062	0.776	0.292	0.076
AGAP000329	alpha3	nicotinic acetylcholine receptor subunit alpha 3 [Source:VB Community Annotation]	0.0	0.061	0.0	0.0	0.583	0.478	0.981	0.576	0.127	0.208	1.0	0.532	0.328	0.644	0.548	0.122	0.611	0.0	0.0	0.007	0.0	0.87	0.9
AGAP008227		trehalose 6-phosphate synthase/phosphatase [Source:VB Community Annotation]	0.0	0.032	0.138	0.581	0.001	0.0	0.0	0.0	0.0	0.071	0.804	0.022	0.805	0.081	0.912	0.497	0.0	0.0	0.378	0.274	0.006	0.002	0.0
AGAP010675	LRIM18	leucine-rich immune protein (Coil-less) [Source:VB Community Annotation]	0.0	0.006	0.0	0.009	0.272	0.066	0.022	0.002	0.03	0.078	0.094	0.003	0.007	0.016	0.015	0.0	0.018	0.0	0.894	0.94	0.87	0.712	0.319
AGAP009518			0.0	0.016	0.0	0.087	0.472	0.903	0.894	0.607	0.295	0.446	0.077	0.224	0.197	0.795	0.011	0.0	0.093	0.0	0.535	0.644	0.74	0.743	0.488
AGAP007593		glycerol-3-phosphate dehydrogenase (NAD+) [Source:VB Community Annotation]	0.0	0.254	0.0	0.0	0.0	0.001	0.29	0.955	0.139	0.859	0.0	0.848	0.0	0.339	0.0	0.431	0.0	0.015	0.005	0.016	0.0	0.0	0.0
AGAP000835			0.0	0.0	0.036	0.228	0.425	0.016	0.89	0.133	0.004	0.731	0.251	0.614	0.002	0.446	0.004	0.224	0.003	0.0	0.036	0.001	0.034	0.0	0.2
AGAP011238			0.0	0.0	0.0	0.536	0.0	0.139	0.263	0.004	0.0	0.492	0.001	0.199	0.0	0.272	0.0	0.063	0.0	0.806	0.008	0.387	0.003	0.002	0.703
AGAP010817			0.0	0.0	0.0	0.083	0.098	0.689	0.323	0.031	0.0	0.246	0.614	0.422	0.235	0.692	0.219	0.056	0.307	0.0	0.003	0.01	0.001	0.007	0.061
AGAP011832		Death-associated protein 1 [Source:VB Community Annotation]	0.0	0.074	0.661	0.118	0.881	0.015	0.167	0.575	0.338	0.064	0.631	0.194	0.485	0.16	0.312	0.296	0.615	0.0	0.945	0.774	0.019	0.0	0.452
AGAP010122	CPR132	cuticular protein RR-2 family 132 [Source:VB Community Annotation]	0.0	0.0	0.965	0.715	0.0	0.976	0.569	0.053	0.0	0.116	0.183	0.036	0.062	0.001	0.003	0.789	0.0	0.0	0.0	0.013	0.0	0.839	0.002
AGAP006108			0.0	0.0	0.59	0.0	0.0	0.794	0.0	0.647	0.317	0.302	0.89	0.087	0.76	0.001	0.228	0.077	0.824	0.0	0.566	0.35	0.692	0.385	0.0
AGAP007801		vrille [Source:VB Community Annotation]	0.0	0.004	0.006	0.0	0.0	0.001	0.462	0.489	0.0	0.026	0.005	0.0	0.036	0.0	0.043	0.057	0.0	0.0	0.0	0.03	0.0	0.004	0.0
