GeneID	Tiefora_v_NG_log2FoldChange	Gou_v_Moz_log2FoldChange	Ban_v_BanS_log2FoldChange	BanRe_v_BanS_log2FoldChange	Bak_v_Kis_log2FoldChange	VK7_v_Kis_log2FoldChange	Cameroon_v_NG_log2FoldChange	Chad_v_NG_log2FoldChange	Niger_v_NG_log2FoldChange	Nigeria_v_NG_log2FoldChange	Agboville_v_Mali_log2FoldChange	Agboville_v_NG_log2FoldChange	Dabou_v_Mali_log2FoldChange	Dabou_v_NG_log2FoldChange	Tiassale_v_Mali_log2FoldChange	Tiassale_v_NG_log2FoldChange	Cam_fun_v_Fang_log2FoldChange	Fumoz_v_Fang_log2FoldChange	Ghana_fun_v_Fang_log2FoldChange	Malawi_fun_v_Fang_log2FoldChange	Uganda_fun_v_Fang_log2FoldChange	Asendabo_v_Moz_log2FoldChange	Chewaka_v_Moz_log2FoldChange	Tolay_v_Moz_log2FoldChange	Ethiopia_v_Dongola_log2FoldChange	GeneName	GeneDescription
AGAP028564	0	0.267	0.003	0.013	0	0	0.801	0.958	0.486	0.614	0.135	0	0.065	0.001	0.311	0	0.078	0.115	0.163	0.728	0.307	0.571	0.434	0.887	0.075	""	""
AGAP006017	0	0.337	0	0.419	0	0	0.796	0.282	0.99	0.896	0	0.006	0.001	0.007	0	0	0.077	0.132	0.3	0.677	0.305	0	0	0.003	0.844	""	serine/threonine-protein phosphatase 6 regulatory subunit 3 [Source:VB Community Annotation]
AGAP000037	0	0.714	0.141	0	0.057	0.987	0.115	0.446	0.63	0.106	0.005	0.856	0.004	0.778	0.002	0.48	0.006	0.201	0.132	0.183	0.571	0	0	0	0.099	""	""
AGAP011318	0	0.959	0	0	0.19	0.118	0.547	0.922	0.517	0.182	0.998	0.046	0.972	0.094	0.301	0.02	0.076	0.308	0.007	0.09	0.007	0.385	0.482	0.623	0.868	""	Synaptogyrin [Source:VB Community Annotation]
AGAP006434	0	0	0.261	0.299	0.081	0	0.109	0.018	0	0	0.998	0.007	0.439	0.377	0.658	0.035	0.912	0.385	0.027	0.01	0.864	0.002	0.599	0	0	""	""
AGAP000363	0	0.809	0.004	0	0.103	0.013	0.423	0.448	0.335	0.1	0.904	0.62	0.966	0.489	0.867	0.447	0	0.143	0.022	0.111	0.447	0	0	0	0.578	""	""
AGAP008218	0	0.006	0.289	0	0	0	0	0.007	0	0	0.001	0.001	0.001	0.006	0.032	0.016	0.999	0.058	0	0.006	0.108	0	0	0.037	0.004	CYP6Z2	cytochrome P450 [Source:VB Community Annotation]
AGAP008331	0	0.476	0.554	0.001	0	0	0	0	0	0	0.785	0.016	0.955	0.065	0.942	0.104	0.003	0.055	0.031	0.001	0.302	0.359	0.126	0	0.715	""	WD repeat-containing protein 59 [Source:VB Community Annotation]
AGAP006729	0	0.299	0	0.003	0.002	0.017	0	0.855	0	0	0	0	0	0	0.001	0.122	0.33	0.028	0.687	0.72	0.07	0	0	0	0	""	Ester hydrolase C11orf54 [Source:VB Community Annotation]
AGAP006433	0	0	0.238	0.739	0.354	0	0.067	0.002	0	0	0.539	0.021	0.41	0.508	0.449	0.001	0.038	0.626	0	0	0	0.002	0.668	0	0	""	""
AGAP003933	0	0.885	0.122	0	0.151	0.351	0.435	0.98	0.812	0.51	0.398	0.211	0.375	0.199	0.493	0.173	0.871	0.892	0.596	0.714	0.835	0	0	0	0.608	""	""
AGAP006339	0	0.711	0	0.048	0.338	0.713	0.738	0.257	0.01	0	0.317	0.857	0.547	0.633	0.247	0.984	0.174	0.812	0.82	0.405	0.93	0.422	0.486	0.887	0.844	""	""
AGAP007285	0	0	0.022	0.065	0.605	0.099	0.984	0.003	0	0	0	0.077	0	0.027	0	0.011	0.513	0.137	0.364	0.485	0.873	0.003	0.778	0	0.154	""	alpha-L-fucosidase [Source:VB Community Annotation]
AGAP002790	0	0.333	0.141	0	0.042	0.865	0.657	0.863	0.805	0.264	0.168	0.765	0.068	0.574	0.764	0.609	0.988	0.383	0.901	0.729	0.864	0.003	0.069	0.039	0.282	""	amyloid beta A4 protein [Source:VB Community Annotation]
AGAP008291	0	0	0.278	0	0.024	0	0	0.011	0	0	0	0	0.061	0.076	0.145	0.168	0.191	0.295	0.309	0.597	0.26	0.006	0	0	0.008	TRYP5	trypsin 5 [Source:VB Community Annotation]
AGAP005978	0	0.707	0.033	0.001	0	0	0.34	0.287	0.385	0.192	0.51	0	0.95	0	0.405	0	0.251	0.113	0.226	0.546	0.453	0.858	0.566	0.795	0.275	""	zinc finger and SCAN domain containing 2 [Source:VB Community Annotation]
AGAP000792	0	0.076	0	0.004	0.015	0	0.061	0.067	0.385	0.441	0	0.025	0.12	0.241	0	0.001	0.829	0.996	0.464	0.852	0.495	0.001	0.258	0.018	0.95	""	Adenosylhomocysteinase [Source:UniProtKB/TrEMBL;Acc:Q7QE71]
AGAP011475	0	0.001	0	0	0.014	0.278	0	0	0	0.008	0.872				0.179	0.01	0.082	0.352	0.85	0.655	0.404	0.41	0.285		0.002	""	Envelysin [Source:VB Community Annotation]
AGAP003400	0	0.468	0.089	0	0.001	0.647	0.523	0.793	0.811	0.58	0.748	0.004	0.544	0.184	0.331	0	0.682	0.377	0.018	0.304	0.104	0.057	0.813	0.197	0.165	""	""
AGAP005783	0	0.047	0	0.106	0	0	0.85	0.792	0.001	0	0.091	0.009	0.001	0	0	0	0.916	0.346	0.211	0.707	0.257	0.734	0.323	0.744	0	""	""
AGAP004209	0	0.293	0.009	0.001	0.354	0.348	0.618	0.77	0.933	0.545	0.119	0.808	0.485	0.258	0.421	0.632	0	0.149	0.111	0.195	0.598	0	0	0	0.392	""	diacylglycerol kinase (ATP dependent) [Source:VB Community Annotation]
AGAP000203	0	0.156	0.023	0.006	0.912	0	0.445	0.923	0.986	0.685	0.677	0.464	0.399	0.648	0.664	0.096	0.36	0.817	0.142	0.105	0.248	0.265	0.459	0.134	0.003	""	inositol-1,4,5-trisphosphate 5-phosphatase [Source:VB Community Annotation]
AGAP008486	0	0.748	0	0	0.032	0	0.023	0.327	0.501	0.864	0.088	0.34	0.295	0.667	0.814	0.559	0.086	0.523	0.988	0.785	0.839	0	0	0	0.001	""	Palmitoyltransferase (Fragment) [Source:UniProtKB/TrEMBL;Acc:Q7Q4M4]
AGAP006935	0	0.001	0.004	0	0.718	0.08	0.566	0.051	0.597	0.3	0.026	0.007	0.007	0.001	0	0	0.029	0.142	0.12	0.511	0.161	0	0	0	0.506	""	""
AGAP004870	0	0.523	0.001	0.007	0.637	0.569	0.015	0.083	0.91	0.721	0.009	0.002	0.004	0.001	0.001	0	0.817	0.669	0.3	0.68	0.665	0	0	0	0	""	tripeptidyl-peptidase II [Source:VB Community Annotation]
AGAP008083	0	0.111	0.476	0	0	0.008	0.416	0.008	0.023	0.127	0.324	0.238	0.049	0.736	0.084	0.157	0	0.382	0	0.002	0.012	0.952	0.001	0.032	0.487	""	""
AGAP008538	0	0.804	0.014	0	0	0.4	0.54	0.536	0.18	0.004	0.198	0.791	0.147	0.876	0.674	0.37	0.002	0.209	0.077	0.258	0.622	0	0.001	0	0.447	""	""
AGAP003373	0	0.001	0	0.366	0.395	0.28	0	0.001	0	0	0.011	0.765	0.043	0.85	0.881	0.151	0.513	0.387	0.77	0.253	0.275	0	0.001	0.005	0.447	SCRB17	Class B Scavenger Receptor (CD36 domain) [Source:VB Community Annotation]
AGAP001883	0	0.538	0.588	0.609	0	0	0.284	0.611	0.74	0.735	0.076	0	0.004	0	0.005	0	0.119	0.388	0.004	0.407	0.509	0.194	0.496	0.052	0.799	""	ELAV (embryonic lethal, abnormal vision Drosophila)-like [Source:VB Community Annotation]
AGAP012982	0	0.908	0.009	0	0.108	0.322	0.213	0.001	0.025	0.01	0.011	0	0.048	0.025			0.042	0.665	0.004	0.03	0.075	0.215	0.258	0.201	0.336	GPROP3	long wavelength sensitive opsin [Source:VB Community Annotation]
AGAP004033	0	0.931	0.029	0	0.014	0.935	0.97	0.994	0.498	0.18	0.245	0.765	0.514	0.402	0.921	0.149	0.155	0.487	0.49	0.345	0.903	0	0.045	0.012	0.985	""	""
AGAP000065	0	0.526	0.207	0	0.311	0.009	0.101	0.854	0.192	0.033	0.792	0.905	0.895	0.341	0.959	0.678	0	0.277	0.193	0.23	0.848	0	0	0	0.693	""	""
AGAP003318	0	0.649	0.001	0	0.075	0.233	0.34	0.093	0.68	0.44	0.233	0.534	0.239	0.325	0.369	0.394	0.003	0.215	0.006	0.084	0.308	0.018	0.204	0.004	0.496	""	""
AGAP002089	0	0.859	0.277	0	0	0.675	0.5	0.001	0	0.004	0.371	0.442	0.012	0.054	0.036	0.048	0.039	0.435	0.001	0.103	0.025	0.001	0.022	0	0.186	""	""
AGAP006961	0	0	0.001	0	0.186	0	0	0.012	0.008	0.028	0.008	0.053	0.016	0.039	0.013	0.064	0	0.001	0	0	0	0	0.003	0.413	0	""	molecular chaperone HtpG [Source:VB Community Annotation]
AGAP000449	0	0.09	0.978	0	0	0.035	0.088	0.143	0.935	0.365	0.196	0.903	0.083	0.939	0.369	0.546	0.466	0.079	0.255	0.193	0.706	0.724	0.759	0.668	0.29	""	""
AGAP006480	0	0	0	0.018	0.432	0	0.952	0.001	0	0	0.201	0.02	0.001	0.975			0.318	0.651	0.962	0.002	0.393	0	0.31	0	0.014	""	""
AGAP009995	0	0.495	0.043	0	0.007	0	0.626	0.49	0.524	0.245	0.723	0.515	0.709	0.39	0.852	0.183	0.019	0.352	0.034	0.264	0.411	0	0	0	0.774	""	anoctamin 10 [Source:VB Community Annotation]
AGAP005845	0	0.114	0	0.03	0.441	0.897	0.017	0.346	0.003	0.023	0.453	0.025	0.661	0.08	0.524	0.857	0.039	0.294	0.001	0.048	0	0.029	0.03	0.185	0.58	""	V-type H+-transporting ATPase subunit C [Source:VB Community Annotation]
AGAP006699	0	0.758	0	0.883	0.001	0.225	0	0.313	0.137	0.128	0.124	0.12	0.137	0.032	0.005	0.459	0.172	0.216	0.505	0.306	0.834	0	0.101	0.007	0.917	""	hairy and enhancer of split, invertebrate [Source:VB Community Annotation]
AGAP006460	0	0.183	0	0.77	0	0	0.028	0	0.121	0.228	0	0.001	0	0	0	0	0.276	0.291	0.351	0.645	0.459	0.133	0.039	0.105	0.99	""	""
AGAP007086	0	0.959	0.049	0	0.025	0.33	0.591	0.861	0.462	0.092	0.017	0.946	0.125	0.198	0.04	0.935	0	0.014	0.001	0.077	0.338	0	0	0	0.681	""	Sodium channel protein [Source:UniProtKB/TrEMBL;Acc:Q7QIV0]
AGAP011832	0	0.791	0.002	0.95	0.268	0.872	0.152	0.794	0.904	0.938	0.045	0.456	0.148	0.433	0.105	0.241	0	0.087	0.471	0.003	0.154	0.697	0.599	0	0	""	Death-associated protein 1 [Source:VB Community Annotation]
AGAP009598	0	0.474	0.059	0	0.001	0.033	0.24	0.997	0.662	0.162	0.011	0.622	0.005	0.744	0.028	0.695	0.251	0.756	0.558	0.791	0.933	0.003	0.214	0.002	0.764	""	voltage-dependent calcium channel alpha-2/delta, invertebrate [Source:VB Community Annotation]
AGAP029047	0	0.019	0.86	0	0.077	0.456	0.488	0.58	0.881	0.548	0.148	0.761	0.306	0.94	0.204	0.811	0.004	0.329	0.308	0.46	0.943	0	0	0	0.905	""	""
AGAP001474	0	0.877	0.323	0	0.206	0.002	0.629	0	0.436	0.245	0.392	0.176	0.056	0.035	0.025	0.01	0.449	0.843	0.517	0.793	0.786	0	0	0	0.299	MSN	myosuppressin [Source:VB Community Annotation]
AGAP010260	0	0.976	0.31	0	0	0.535	0.496	0.09	0.198	0.004	0.823	0.099	0.788	0.068	0.375	0.013	0.459	0.476	0.004	0.213	0.329	0	0	0	0.598	""	""
AGAP007127	0	0.99	0.001	0.001	0.099	0.87	0.86	0.866	0.239	0.016	0.269	0.371	0.396	0.414	0.415	0.735	0.001	0.209	0.022	0.17	0.412	0.84	0.824	0.968	0.562	""	regulator of G-protein signaling [Source:VB Community Annotation]
AGAP013149	0	0.359	0.056	0.001	0.46	0.87	0.001	0.001	0.949	0.298	0.45	0.001	0.098	0	0.373	0	0	0.006	0	0	0.001	0.215	0.258	0.201	0.336	GPROP1	long wavelength sensitive opsin [Source:VB Community Annotation]
AGAP002529	0	0.947	0.1	0	0.044	0.107	0.364	0.743	0.456	0.036	0.292	0.943	0.56	0.292	0.751	0.581	0.001	0.155	0.001	0.13	0.456	0	0	0	0.58	""	phosphatidylinositol phospholipase C, epsilon [Source:VB Community Annotation]
AGAP000805	0	0.291	0	0	0.128	0.87	0.084	0.067	0.959	0.66	0.465	0.995	0.455	0.952	0.712	0.775	0	0.17	0.015	0.224	0.595	0	0	0	0.211	""	BTB/POZ domain-containing protein KCTD16 [Source:VB Community Annotation]
AGAP002291	0	0.206	0.874	0.13	0.006	0.359	0.954	0.243	0	0	0.244	0.261	0.986	0.003	0.351	0	0	0.074	0	0	0	0.283	0.546	0.036	0.376	""	ebony [Source:VB Community Annotation]
AGAP000232	0	0.189	0.001	0.011	0.173	0.959	0.277	0.178	0.652	0.27	0.01	0.47	0.017	0.361	0.001	0.994	0	0.133	0.004	0.245	0.546	0	0	0	0.736	""	regulator of G-protein signaling [Source:VB Community Annotation]
AGAP005866	0	0.072	0.001	0	0	0.006	0.773	0.313	0.001	0	0.473	0.029	0.714	0.093			0	0.229	0.001	0	0.007	0	0	0	0.752	""	glutamate decarboxylase [Source:VB Community Annotation]
AGAP006478	0	0.156	0	0.28	0	0	0.113	0.014	0.042	0.023	0	0.001	0	0.002	0	0	0.438	0.241	0.694	0.945	0.837	0.063	0.791	0.781	0.474	""	Synaptic vesicle membrane protein VAT-1 homolog-like [Source:VB Community Annotation]
AGAP005254	0	0.069	0.001	0.001	0.971	0.032	0.791	0.867	0.029	0	0.393	0.309	0.211	0.613	0.329	0.445	0	0.075	0.004	0.049	0.249	0	0	0	0.666	""	""
AGAP005244	0	0.075	0.618	0.011	0.034	0.016	0.337	0.196	0.796	0.652	0.007	0.007	0.006	0.003	0.029	0.012	0.877	0.318	0.988	0.818	0.433	0.357	0.324	0.334	0.084	""	""
AGAP028513	0	0.829	0	0	0	0.418	0.004	0.425	0.475	0.707	0.904	0.117	0.335	0.006	0.778	0.054	0.427	0.283	0.156	0.989	0.992	0	0.001	0	0.068	""	""
AGAP005033	0	0.859	0.007	0.012	0.299	0.869	0.923	0.578	0.373	0.204	0.279	0.002	0.137	0.001	0.001	0	0.908	0.611	0.782	0.954	0.562	0.354	0.86	0.023	0.026	""	U3 small nucleolar RNA-associated protein 20 [Source:VB Community Annotation]
AGAP005826	0	0.218	0	0.812	0	0	0.681	0.986	0.992	0.129	0.238	0	0.684	0	0.036	0	0.822	0.27	0.561	0.805	0.337	0.561	0.096	0.072	0.306	""	""
AGAP000637	0	0.967	0.004	0	0.002	0.005	0.586	0.093	0.132	0.014	0.345	0.08	0.054	0.009	0.009	0.001	0.004	0.085	0	0.017	0.041	0	0	0	0.402	""	solute carrier family 6 (neurotransmitter transporter, amino acid/orphan) [Source:VB Community Annotation]
AGAP006165	0	0.01	0	0.133	0	0	0.94	0.33	0.2	0.129	0.001	0	0.001	0	0	0	0.525	0.696	0.996	0.866	0.799	0.077	0.176	0.016	0.111	""	E1A-binding protein p400 [Source:VB Community Annotation]
AGAP007793	0	0.001	0.594	0.008	0.002	0.927	0.956	0.319	0.16	0.174	0.259	0.075	0.094	0.03	0.735	0.859	0.324	0.918	0.068	0.959	0.672	0.789	0.006	0.323	0.113	""	Regucalcin protein [Source:VB Community Annotation]
AGAP001800	0	0.451	0.013	0	0.003	0.055	0.213	0.541	0.821	0.341	0.287	0.025	0.31	0.036	0.049	0.004	0.042	0.817	0.004	0.327	0.18	0.043	0.043	0.018	0.813	""	Synaptotagmin [Source:VB Community Annotation]
AGAP005913	0	0.444	0	0.119	0	0.042	0.681	0.002	0.177	0.278	0.349	0.101	0.146	0.043	0.023	0.01	0.006	0.126	0	0.06	0.134	0	0	0	0.76	""	guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-1 [Source:VB Community Annotation]
AGAP007065	0	0.041	0	0.821	0	0.116	0.828	0.509	0.081	0.496	0.806	0.476	0.904	0.433	0.56	0.877	0.294	0.767	0.875	0.816	0.629	0.019	0.512	0.831	0.807	""	transcription factor CP2 and related proteins [Source:VB Community Annotation]
AGAP010675	0	0.572	0.043	0	0.005	0.397	0.025	0.006	0	0.007	0.064	0.136	0.001	0.008	0.011	0.021	0.626	0.088	0.492	0.017	0.38	0.983	0.992	0.681	0.787	LRIM18	leucine-rich immune protein (Coil-less) [Source:VB Community Annotation]
AGAP006756	0	0.002	0	0	0.003	0.064	0	0	0	0	0.124	0.352	0.002	0.074	0.025	0.26	0	0.218	0	0	0	0.991	0.26	0.908	0.124	""	""
AGAP000104	0	0.009	0.142	0	0.685	0	0.947	0.108	0.681	0.629	0.486	0.107	0.039	0.001	0	0	0.938	0.929	0.891	0.835	0.749	0	0	0	0.322	""	""
AGAP002176	0	0.39	0.422	0	0	0.237	0.682	0.034	0.021	0.008	0.697	0.218	0.432	0.081	0.032	0.006	0.966	0.919	0.504	0.652	0.689	0	0	0	0.957	""	proprotein convertase subtilisin/kexin type 2 [Source:VB Community Annotation]
AGAP000332	0	0.527	0	0.206	0.108	0.868	0.353	0	0.034	0.031	0.144	0.646	0.079	0.659	0.119	0.928	0.266	0.986	0.298	0.613	0.878	0.001	0.001	0	0.754	Vir	protein virilizer [Source:VB Community Annotation]
AGAP009518	0	0.736	0.089	0	0.074	0.337	0.834	0.811	0.718	0.42	0.465	0.102	0.264	0.227	0.815	0.017	0.019	0.121	0.011	0.019	0.071	0.387	0.585	0.503	0.612	""	""
AGAP010498	0	0.006	0	0.418	0.449	0.007	0.002	0.06	0	0	0.026	0.332	0.317	0.014	0.083	0.01	0.862	0.405	0.709	0.893	0.965	0.408	0.588	0.001	0.844	""	RNA 3'-terminal phosphate cyclase-like protein [Source:VB Community Annotation]
AGAP011106	0	0.099	0.019	0.974	0.002	0.004	0.004	0.021	0.027	0.061			0.06	0.017	0.031	0.01	0.255		0.104	0.154	0.392	0.105	0.225	0.006	0.002	""	""
AGAP000965	0	0.123	0.48	0	0	0	0.523	0.958	0.658	0.269	0.389	0.746	0.77	0.073	0.981	0.266	0.17	0.204	0.302	0.626	0.997	0	0	0	0.752	""	ELAV (embryonic lethal, abnormal vision Drosophila)-like [Source:VB Community Annotation]
AGAP000188	0	0.516	0	0	0.582	0.244	0.989	0.26	0.002	0.177	0.697	0.001	0.717	0.003			0	0.907	0.002	0.459	0	0.515	0.105	0.213	0.812	""	Uridine phosphorylase [Source:UniProtKB/TrEMBL;Acc:Q7PFX7]
AGAP004827	0	0.741	0.013	0	0	0	0.425	0.794	0.033	0.001	0.133	0.22	0.551	0.005	0.46	0.064	0	0.05	0.001	0.009	0.127	0	0	0	0	""	""
AGAP000308	0	0.59	0	0.091	0.023	0	0.51	0.172	0.146	0.001	0.287	0.104	0.652	0.001	0.964	0.011	0.782	0.349	0.805	0.926	0.932	0.175	0.923	0.003	0.967	""	proteasome activator subunit 3 (PA28 gamma) [Source:VB Community Annotation]
AGAP001899	0	0	0.024	0.151	0.307	0.001	0.698	0	0	0	0.696	0.42	0.629	0.062	0.854	0.625	0	0.001	0	0.017	0.002	0.889	0.999	0.369	0.969	""	fatty acid synthase, animal type [Source:VB Community Annotation]
AGAP010604	0	0.05	0.055	0	0	0.05	0.176	0.001	0.039	0.041	0.894	0.167	0.919	0.198	0.063	0.425	0.481	0.999	0.982	0.17	0.949	0	0.001	0.005	0	""	Insulin-like peptide 3 precursor [Source:VB Community Annotation]
AGAP029107	0	0.995	0.829	0	0	0.045	0.112	0.909	0.978	0.456	0.385	0.472	0.16	0.183	0.025	0.031	0.658	0.208	0.033	0.475	0.668	0	0	0	0.054	""	""
AGAP007992	0	0.545	0.003	0	0.007	0.133	0.97	0.603	0.153	0.002	0.812	0.61	0.989	0.382	0.7	0.301	0.013	0.133	0.012	0.158	0.506	0	0	0	0.65	""	Vesicular glutamate transporter 2 [Source:VB Community Annotation]
AGAP004476	0	0.122	0	0	0.009	0.428	0.681	0.789	0.016	0.004	0.233	0	0.027	0	0.066	0	0.084	0.33	0.029	0.224	0.313	0.298	0.988	0.422	0.38	""	solute carrier family 18 (vesicular monoamine), member 2 [Source:VB Community Annotation]
AGAP013333	0	0.272	0.001	0.684	0	0.718	0.086	0.659	0.726	0.463	0.888	0.083	0.82	0.275	0.685	0.034	0.111	0.295	0.035	0.039	0.101	0.696	0.574	0.71	0	""	Phosphate carrier, mitochondrial [Source:VB Community Annotation]
AGAP005916	0	0.291	0	0.806	0.186	0	0.264	0.4	0.111	0.051	0.416	0.445	0.034	0.99	0.464	0.427	0.004	0.473	0.617	0.841	0.715	0	0	0	0.001	""	ubiquitin-conjugating enzyme E2 M [Source:VB Community Annotation]
AGAP009563	0	0.169	0.048	0.058	0.45	0	0.099	0.336	0	0	0.305	0.506	0.836	0.55	0.493	0.211	0.931	0.329	0.672	0.956	0.653	0	0.003	0	0.472	""	myotubularin related protein 2 [Source:VB Community Annotation]
AGAP004382	0	0	0	0.005	0.62	0.001	0.486	0.155	0.553	0	0	0.008	0	0	0	0.001	0.576	0.949	0.533	0.935	0.342	0	0	0	0	GSTD3	glutathione S-transferase delta class 3 [Source:VB Community Annotation]
AGAP002184	0	0.241	0.503	0	0	0.019	0.693	0.072	0.156	0	0.887	0.112	0.825	0.015	0.434	0.026	0.004	0.046	0.001	0.02	0.023	0	0	0	0.476	""	""
AGAP006890	0	0.469	0	0.497	0.001	0	0.646	0.104	0.091	0.55	0.037	0.027	0.002	0.002	0.004	0.004	0.961	0.545	0.775	0.796	0.706	0.003	0.001	0	0.513	Arf3	ADP-ribosylation factor 3 [Source:VB Community Annotation]
AGAP000342	0	0.826	0.079	0.013	0	0	0.111	0.035	0.13	0.147	0.815	0.371	0.239	0.051	0.65	0.313	0.448	0.203	0.769	0.893	0.677	0	0	0	0.93	""	inhibin, beta [Source:VB Community Annotation]
AGAP007928	0	0.932	0.007	0	0.02	0.986	0.895	0.961	0.31	0.046	0.288	0.796	0.261	0.55	0.363	0.642	0.002	0.141	0	0.029	0.086	0	0	0	0.998	""	Turtle protein, isoform [Source:VB Community Annotation]
AGAP012635	0	0	0	0.019	0	0	0	0	0	0							0.097	0.651	0.002	0.006	0.001	0.035	0.85	0.041	0.841	""	""
AGAP003638	0	0.01	0	0.185	0.008	0	0.009	0.867	0.036	0.074	0.29	0.002	0.173	0.011	0.002	0.236	0.869	0.831	0.976	0.796	0.766	0.319	0.001	0.001	0.153	""	""
AGAP005674	0	0.472	0.003	0	0	0.004	0.893	0.922	0.262	0.177	0.748	0.011	0.967	0.007	0.794	0.021	0.011	0.192	0	0.014	0.028	0.003	0.249	0.754	0.983	""	Miple [Source:VB Community Annotation]
AGAP008862	0	0.881	0	0.523	0.417	0	0.027	0.818	0.023	0.001	0.864	0.642	0.606	0.432	0.01	0.014	0	0.009	0.002	0.015	0	0.303	0.187	0.946	0	""	aubergine [Source:VB Community Annotation]
AGAP000329	0	0.836	0.199	0	0	0.432	0.34	0.826	0.734	0.208	0.385	0.742	0.799	0.13	0.565	0.424	0.061	0.365	0.375	0.544	0.862	0	0.006	0	0.802	alpha3	nicotinic acetylcholine receptor subunit alpha 3 [Source:VB Community Annotation]
AGAP008143	0	0	0.081	0	0.195	0.21	0	0	0	0	0.449	0	0.599	0.005	0	0	0.642	0.687	0.997	0.52	0.413	0	0.071	0	0.077	""	""
AGAP010800	0	0.948	0	0.904	0	0.859	0.05	0	0.034	0.236	0.262	0.041	0.909	0.004	0.485	0	0	0.046	0.34	0.448	0.133	0.036	0.801	0.001	0.267	""	nuclear protein NHN1 [Source:VB Community Annotation]
AGAP007761	0	0.543	0.048	0	0	0	0.86	0.127	0.007	0	0.994	0.058	0.608	0.003	0.384	0.018	0.016	0.329	0.044	0.21	0.205	0	0.005	0	0.942	""	Complement control protein [Source:VB Community Annotation]
AGAP005079	0	0.046	0.001	0	0.258	0	0.034	0.063	0.004	0.001	0.024	0	0.968	0.004	0.111	0	0.001	0.32	0	0.055	0.12	0.021	0.004	0.049	0.813	""	guanine nucleotide-binding protein G(q) alpha subunit [Source:VB Community Annotation]
AGAP009447	0	0	0	0.013	0.004	0.062	0.034	0	0	0							0	0.216	0.393	0.245	0.002	0.001	0	0.31	0	""	S-adenosylmethionine synthetase [Source:VB Community Annotation]
AGAP028511	0	0.156	0.776	0.136	0	0	0.276	0	0.04	0.107	0.332	0.842	0.718	0.556	0.495	0.905	0.001		0.188	0.957	0.374	0.118	0.258	0	0.563	""	""
