GeneID	GeneName	GeneDescription	Tiefora_v_Ngousso	Ban_v_BanS	BanRe_v_BanS	Bak_v_Kisumu	VK7_v_Kisumu	Cameroon_v_Ngousso	Chad_v_Ngousso	Niger_v_Ngousso	Nigeria_v_Ngousso	Agboville_v_Mali	Agboville_v_Ngousso	Dabou_v_Mali	Dabou_v_Ngousso	Tiassale_v_Mali	Tiassale_v_Ngousso	Bouake_gamb_unexp_v_Kisumu	Bouake_colu_unexp_v_Ngousso	BusiaSurvivors_v_Kisumu	Asendabo_v_Moz	Chewaka_v_Moz	Tolay_v_Moz	Ethiopia_v_Dongola	Gou_v_Moz	Cam_fun_v_Fang	Fumoz_v_Fang	Ghana_fun_v_Fang	Malawi_fun_v_Fang	Uganda_fun_v_Fang
AGAP006017		serine/threonine-protein phosphatase 6 regulatory subunit 3 [Source:VB Community Annotation]	-1.47	-1.15	0.11	-1.52	-1.36	-0.2	0.29	-0.11	-0.06	-1.1	-0.96	-1.23	-1.1	-1.63	-1.48	-0.22	-0.07	0.42	0.75	0.72	0.59	0.1	0.27	0.08	0.1	0.1	0.05	0.13
AGAP000743			1.55	0.64	-0.8	0.19	-0.03	1.84	1.13	1.55	2.08	-0.46	-0.79	0.47	0.12	1.2	0.88	0.9	0.44	-1.62	-1.34	-1.53	-1.18	1.17	-0.01	-0.19	-0.52	-0.4	-0.6	-0.37
AGAP005783			-1.9	-0.79	0.25	-1.05	-0.87	-0.14	-0.24	-1.1	-1.14	-0.56	-0.82	-0.72	-0.99	-1.09	-1.34	-0.23	0.11	-1.25	0.23	0.41	0.23	-0.97	0.64	-0.04	0.07	0.18	0.06	0.31
AGAP008291	TRYP5	trypsin 5 [Source:VB Community Annotation]	-3.53	-0.49	1.51	-1.45	2.28	-1.64	-2.52	-5.02	-7.04	2.12	2.02	1.49	1.38	1.31	1.21	-1.62	3.02	-1.13	1.04	2.74	2.07	-1.11	-2.62	0.12	1.54	0.2	0.72	-0.61
AGAP008331		WD repeat-containing protein 59 [Source:VB Community Annotation]	2.13	-0.04	-0.68	0.93	1.67	2.02	1.72	1.65	1.3	0.68	1.06	0.5	0.86	0.33	0.71	1.03	2.22	4.42	-0.12	0.2	-0.21	-0.04	-0.17	-0.61	-0.58	-0.37	-0.75	-0.24
AGAP000363			1.65	0.83	-0.92	0.13	-0.31	0.27	0.27	-0.55	-0.87	-0.07	0.22	0.0	0.27	0.05	0.35	0.76	0.12	-1.5	-1.37	-1.31	-1.42	-0.19	0.13	-1.2	-0.81	-0.7	-0.89	-0.59
AGAP011475		Envelysin [Source:VB Community Annotation]	-5.6	-8.55	-1.4	1.55	0.85	-8.12	-7.21	-6.59	-4.75	0.34	3.17	-1.84	0.98	2.5	5.33	1.68	-4.53	3.28	1.11	1.5	4.18	3.16	2.74	-1.12	-0.87	0.21	0.7	-0.53
AGAP000037			1.67	0.51	-1.06	0.28	-0.04	0.56	0.25	-0.39	-0.8	-1.27	-0.04	-1.34	-0.11	-1.58	-0.34	0.87	0.12	-1.2	-2.12	-1.96	-2.14	-0.77	0.18	-0.9	-0.81	-0.62	-0.74	-0.51
AGAP006339			-1.92	-1.19	-0.42	-0.31	-0.17	0.03	0.08	-0.74	-0.87	-0.28	0.11	-0.18	0.19	-0.37	0.02	-0.39	0.07	0.21	-0.13	0.18	0.12	-0.03	0.19	-0.32	-0.18	-0.11	-0.36	-0.02
AGAP006935			-2.1	-0.9	0.63	-0.13	-0.39	-0.31	0.49	-0.32	-0.36	-0.78	-1.35	-1.05	-1.64	-1.56	-2.13	-0.87	-0.96	1.46	1.0	0.96	1.01	-0.16	1.0	0.19	0.22	0.27	0.23	0.45
AGAP010313		serine/threonine-protein kinase ATR [Source:VB Community Annotation]	1.36	0.7	0.51	-0.58	-0.58	1.07	0.96	0.85	0.84	-0.21	-0.23	-0.17	-0.2	-0.45	-0.47	-0.54	0.28	-0.54	-0.5	-0.44	-0.3	-0.39	-0.21	0.14	0.14	0.29	0.2	0.39
AGAP005978		zinc finger and SCAN domain containing 2 [Source:VB Community Annotation]	-1.35	-0.38	0.45	-1.01	-1.16	-0.32	0.17	-0.37	-0.4	0.2	-1.14	-0.04	-1.4	-0.21	-1.55	-0.69	-0.95	0.52	0.14	0.25	0.0	-0.21	0.16	0.08	0.17	0.15	0.13	0.19
AGAP006729		Ester hydrolase C11orf54 [Source:VB Community Annotation]	-1.59	-0.54	-0.52	-0.72	0.36	-0.64	-0.3	-1.18	-1.41	2.13	1.47	2.76	2.08	1.37	0.71	-0.08	1.47	-1.32	1.43	1.97	1.92	1.01	0.45	-0.3	0.85	-0.15	-0.14	-0.72
AGAP008288	TIM	timeless [Source:VB Community Annotation]	1.12	0.07	-0.32	-0.41	-1.21	-0.49	0.23	-0.6	-1.51	0.7	1.57	0.62	1.48	0.87	1.75	-1.4	-1.03	-1.87	-0.62	0.66	-0.14	0.67	1.15	0.36	0.62	0.33	0.48	0.43
AGAP006961		molecular chaperone HtpG [Source:VB Community Annotation]	-1.51	-0.53	1.19	-0.33	-1.58	-1.05	-1.09	-0.98	-0.74	-0.3	-0.2	-0.47	-0.38	-0.01	0.09	-2.93	-1.01	-2.95	1.23	0.88	0.47	-0.6	-0.83	-1.58	-1.6	-2.02	-1.93	-2.12
AGAP000792		Adenosylhomocysteinase [Source:UniProtKB/TrEMBL;Acc:Q7QE71]	-1.17	-0.86	-0.43	-0.45	0.8	0.37	0.29	-0.44	-0.34	-1.17	-1.04	-0.76	-0.65	-1.72	-1.59	-0.51	1.21	0.34	0.84	0.38	0.66	0.06	0.68	-0.09	-0.1	-0.16	0.01	-0.25
AGAP003373	SCRB17	Class B Scavenger Receptor (CD36 domain) [Source:VB Community Annotation]	-1.98	-1.26	-0.35	-0.26	-0.28	-2.26	-1.34	-1.77	-1.69	-0.86	-0.08	-0.85	-0.08	-0.12	0.67	-0.7	-1.48	1.17	1.05	0.66	0.65	-0.12	0.98	-0.16	0.2	-0.1	0.21	0.18
AGAP003933			1.46	0.47	-1.3	0.13	-0.16	0.28	-0.13	-0.25	-0.42	-0.35	0.42	-0.36	0.39	-0.29	0.48	0.64	-0.06	-1.18	-1.39	-1.37	-1.04	0.21	0.1	-0.11	-0.16	-0.22	-0.27	0.08
AGAP008083			1.8	0.29	-1.07	0.68	-0.35	-0.62	-1.4	-1.3	-0.97	-0.57	0.65	-1.0	0.21	-0.66	0.57	-0.41	-0.23	-0.79	0.03	-1.24	-0.7	0.27	-0.37	-1.42	-0.7	-1.6	-1.28	-1.36
AGAP011318		Synaptogyrin [Source:VB Community Annotation]	1.25	0.93	-0.89	0.13	-0.25	0.22	-0.19	-0.37	-0.68	-0.02	0.55	-0.01	0.55	0.53	1.1	0.48	0.07	-1.34	-0.21	-0.24	-0.07	0.11	0.03	-0.42	-0.48	-0.55	-0.45	-0.6
AGAP006699		hairy and enhancer of split, invertebrate [Source:VB Community Annotation]	-1.83	-1.27	-0.1	-0.86	0.3	0.76	0.22	0.27	0.3	-0.5	0.63	-0.4	0.71	-0.81	0.32	0.82	1.51	-0.91	1.4	0.46	0.67	0.09	-0.06	0.14	-0.31	-0.33	-0.34	-0.17
AGAP004870		tripeptidyl-peptidase II [Source:VB Community Annotation]	-1.25	-0.58	0.33	0.05	-0.14	-0.48	0.19	-0.13	-0.18	-0.5	-0.63	-0.6	-0.75	-0.64	-0.76	-0.67	-0.74	0.74	0.77	0.61	0.64	-0.63	0.26	-0.08	0.0	0.13	0.05	0.0
AGAP006478		Synaptic vesicle membrane protein VAT-1 homolog-like [Source:VB Community Annotation]	-1.37	-0.95	0.11	-1.14	-1.34	0.35	0.76	0.45	0.43	-1.53	-1.29	-1.43	-1.19	-1.67	-1.43	-0.28	-0.53	0.01	0.41	0.02	0.23	-0.38	0.42	0.11	0.19	-0.12	-0.08	-0.01
AGAP012982	GPROP3	long wavelength sensitive opsin [Source:VB Community Annotation]	1.0	0.59	-1.09	0.29	0.21	0.25	-0.85	-0.62	-0.53	-0.4	1.13	-0.54	0.98	0.49	2.03	0.83	1.12	-0.95	-0.78	-0.87	-0.89	-0.09	0.01	-0.85	-0.8	-0.9	-0.95	-0.92
AGAP007793		Regucalcin protein [Source:VB Community Annotation]	2.5	-0.16	-0.69	-0.68	-0.07	-0.05	0.71	0.37	0.18	0.63	0.81	1.15	1.31	-0.25	-0.07	1.57	1.03	-0.45	0.17	0.53	-0.16	-0.33	-0.94	0.17	-0.07	0.35	-0.03	-0.19
AGAP008486		Palmitoyltransferase (Fragment) [Source:UniProtKB/TrEMBL;Acc:Q7Q4M4]	1.45	0.92	-0.74	-0.27	-0.5	0.62	0.26	0.15	-0.2	-0.52	-0.3	-0.35	-0.14	0.08	0.31	0.39	-0.34	-1.13	-1.44	-1.29	-1.19	-1.05	-0.04	-0.32	-0.32	-0.04	-0.15	0.02
AGAP028513			2.12	1.14	-1.27	0.84	0.22	1.05	0.28	-0.48	-0.37	-0.07	0.57	0.37	0.99	0.08	0.72	1.34	0.86	-0.28	-1.4	-1.22	-1.63	-0.45	0.17	-0.22	-0.47	-0.29	-0.04	-0.07
AGAP002790		amyloid beta A4 protein [Source:VB Community Annotation]	1.12	0.48	-1.01	0.22	0.0	0.13	-0.02	-0.24	-0.55	-0.5	-0.05	-0.57	-0.14	-0.17	0.28	0.54	-0.14	-1.01	-0.79	-0.61	-0.5	0.38	-0.19	-0.04	-0.29	-0.05	-0.2	0.12
AGAP006480			-1.84	-1.19	0.8	-0.42	-1.6	-0.13	2.34	2.96	2.78	0.89	-1.06	1.98	0.01	2.15	0.2	0.2	-1.37	-3.87	1.65	0.55	1.88	1.13	1.44	-0.47	0.41	-0.07	-1.34	-0.96
AGAP000065			1.3	0.31	-0.93	-0.11	-0.28	0.37	-0.04	-0.55	-0.85	-0.1	0.07	0.01	0.16	0.0	0.17	-0.14	0.43	-1.09	-2.59	-1.83	-2.83	0.23	0.23	-0.78	-0.47	-0.39	-0.56	-0.2
AGAP006433			-4.25	-0.33	0.04	-0.65	3.15	-0.56	-2.3	-4.09	-3.5	0.48	-0.98	0.91	-0.57	-0.8	-2.27	1.05	4.49	-0.14	1.36	0.24	1.5	-1.48	-2.38	-0.9	-0.46	-1.83	-1.95	-2.05
AGAP003318			1.4	0.74	-1.06	0.1	-0.16	0.5	0.87	-0.38	-0.62	-0.63	0.36	-0.54	0.43	-0.51	0.48	0.52	0.09	-1.68	-1.04	-0.89	-0.84	-0.32	-0.08	-0.87	-0.71	-0.74	-0.79	-0.63
AGAP004382	GSTD3	glutathione S-transferase delta class 3 [Source:VB Community Annotation]	2.05	1.44	0.39	-0.25	0.9	-0.39	0.67	0.18	1.22	2.09	1.26	2.63	1.79	2.03	1.21	0.03	0.96	0.26	1.72	1.31	1.71	1.75	1.05	0.83	1.24	1.92	1.79	1.38
AGAP008282	D7r2	D7 short form salivary protein [Source:VB Community Annotation]	-2.21	1.98	0.33	0.39	0.36	-2.45	-1.0	-1.57	-2.11	2.62	-0.18	2.94	0.13	2.87	0.07	2.0	-0.48	-0.89	0.84	0.32	1.04	0.92	1.0	-0.54	-0.53	-0.28	-0.47	-1.15
AGAP004209		diacylglycerol kinase (ATP dependent) [Source:VB Community Annotation]	1.17	0.71	-0.77	0.1	-0.17	0.27	0.09	-0.16	-0.45	-0.77	-0.04	-0.35	0.37	-0.48	0.26	0.46	-0.08	-1.39	-1.07	-1.1	-1.0	-0.26	-0.21	-0.99	-0.82	-0.56	-0.74	-0.47
AGAP008538			1.37	0.72	-1.41	0.49	0.14	0.16	-0.37	-0.72	-0.94	-0.47	0.13	-0.51	0.08	-0.21	0.4	0.36	0.03	-1.21	-1.22	-0.88	-1.27	-0.27	-0.05	-0.99	-0.69	-0.61	-0.65	-0.41
AGAP003400			0.98	0.49	-1.38	0.34	0.05	0.2	0.02	-0.22	-0.38	-0.14	0.81	-0.34	0.59	0.35	1.3	0.58	0.11	-1.02	-0.31	0.01	-0.23	0.16	0.26	-0.15	-0.34	-0.45	-0.33	-0.38
AGAP008862		aubergine [Source:VB Community Annotation]	-1.66	-1.06	0.03	0.2	-0.89	-0.57	-0.22	-1.18	-0.8	-0.12	-0.23	-0.27	-0.4	-0.85	-0.96	-0.17	-0.13	-0.09	0.35	0.4	0.12	-0.66	-0.01	0.44	0.5	0.39	0.38	0.43
AGAP005866		glutamate decarboxylase [Source:VB Community Annotation]	1.32	0.77	-2.1	0.63	0.37	-0.2	-0.61	-1.06	-1.4	0.22	0.72	0.12	0.61	0.41	0.92	-0.05	-0.47	-0.41	-1.03	-1.05	-0.89	0.17	0.58	-1.03	-0.71	-0.82	-1.1	-1.07
AGAP005826			-1.22	-1.0	0.01	-0.63	-0.97	0.04	-0.13	-0.11	-0.37	-0.28	-0.87	-0.12	-0.73	-0.48	-1.07	-0.21	-0.23	0.31	-0.04	-0.23	-0.14	-0.18	0.31	-0.02	0.16	0.06	0.06	0.29
AGAP007086		Sodium channel protein [Source:UniProtKB/TrEMBL;Acc:Q7QIV0]	1.46	0.63	-0.99	0.24	-0.19	0.28	-0.26	-0.54	-0.95	-0.96	0.07	-0.59	0.43	-1.05	-0.01	0.68	0.01	-1.03	-1.6	-1.48	-1.83	-0.12	0.06	-1.23	-1.06	-0.93	-0.78	-0.66
AGAP000232		regulator of G-protein signaling [Source:VB Community Annotation]	1.41	0.91	-0.66	0.2	-0.05	0.49	0.62	-0.37	-0.71	-1.13	0.33	-1.06	0.38	-1.42	0.04	0.64	0.03	-1.14	-1.41	-1.29	-1.24	-0.09	0.37	-0.84	-0.72	-0.66	-0.6	-0.41
AGAP005913		guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-1 [Source:VB Community Annotation]	-1.12	-0.79	0.15	-0.79	-0.46	0.05	0.4	0.17	0.07	-0.3	-0.45	-0.26	-0.42	-0.46	-0.6	-0.4	0.07	-0.15	-1.83	-1.56	-1.91	0.15	0.2	-0.11	-0.23	-0.19	-0.12	0.17
AGAP005241			2.85	0.47	0.17	0.27	-1.08	0.17	1.26	2.12	1.35	-0.34	-1.28	0.01	-0.95	0.3	-0.64	-0.9	2.41	0.97	0.83	0.35	0.89	0.12	-1.47	-1.2	-0.79	-1.47	-0.99	-1.32
AGAP008963			-1.87	-0.63	-0.32	-6.12	0.54	-0.4	-1.9	-2.13	-1.4	-1.4	-1.69	-0.49	-0.8	-2.33	-2.62	-1.06	2.57	-0.62	0.35	-0.17	0.54	0.22	2.44	-0.13	-0.17	-0.11	-0.23	-0.17
AGAP004033			1.16	0.52	-1.26	0.15	-0.05	-0.1	-0.12	-0.5	-0.7	-0.44	0.14	-0.28	0.29	-0.07	0.52	0.41	-0.12	-1.65	-0.91	-0.6	-0.49	0.05	0.08	-0.42	-0.44	-0.23	-0.48	-0.15
AGAP001899		fatty acid synthase, animal type [Source:VB Community Annotation]	-1.74	-1.01	0.43	0.87	-0.96	0.1	0.85	0.96	0.89	-0.27	0.47	0.29	1.02	-0.24	0.5	0.05	0.73	1.5	0.0	0.02	0.47	0.04	1.76	-0.86	-1.29	-0.81	-0.83	-0.75
AGAP009995		anoctamin 10 [Source:VB Community Annotation]	1.24	0.56	-1.38	0.17	-0.67	0.12	-0.43	-0.32	-0.52	-0.16	0.25	-0.15	0.25	0.05	0.46	-0.01	-0.47	-0.86	-1.25	-1.13	-1.18	-0.05	0.24	-0.61	-0.46	-0.57	-0.5	-0.47
AGAP000449			1.28	0.1	-1.52	0.52	0.24	0.46	0.41	-0.15	-0.48	-0.15	-0.11	-0.14	-0.12	-0.18	-0.14	0.22	0.0	-0.65	-0.42	-0.38	-0.38	0.07	0.56	-0.4	-0.42	-0.39	-0.39	-0.28
AGAP000203		inositol-1,4,5-trisphosphate 5-phosphatase [Source:VB Community Annotation]	1.07	0.41	-0.48	-0.05	-0.46	0.21	-0.07	-0.09	-0.28	-0.16	0.27	-0.26	0.15	0.14	0.57	0.06	0.07	-0.67	-0.15	0.19	-0.21	-0.54	0.39	-0.21	-0.16	-0.24	-0.28	-0.26
AGAP009598		voltage-dependent calcium channel alpha-2/delta, invertebrate [Source:VB Community Annotation]	1.28	0.54	-1.01	0.43	0.3	0.49	-0.12	-0.35	-0.8	-1.12	0.26	-1.21	0.16	-1.14	0.24	0.78	0.35	-0.98	-0.77	-0.41	-0.63	-0.11	0.27	-0.41	-0.26	-0.22	-0.2	-0.03
AGAP005845		V-type H+-transporting ATPase subunit C [Source:VB Community Annotation]	-0.92	-0.93	-0.37	-0.16	-0.07	-0.41	-0.35	-0.63	-0.55	0.1	0.44	0.07	0.39	-0.24	0.09	-0.58	0.28	0.22	0.5	0.43	0.35	0.18	0.51	-0.28	-0.36	-0.49	-0.5	-0.65
AGAP003638			-1.19	-0.37	-0.29	-0.28	1.12	0.56	-0.07	-0.57	-0.58	-0.29	0.75	-0.37	0.66	-0.7	0.34	-0.15	1.43	-0.43	0.27	0.62	0.54	-0.29	0.56	-0.02	-0.05	-0.04	-0.17	0.04
AGAP005254			1.38	0.96	-0.82	-0.04	-0.41	0.07	-0.23	-0.95	-1.44	-0.69	0.87	-1.03	0.51	-0.83	0.74	0.53	-0.1	-1.85	-1.72	-1.61	-1.43	-0.21	-0.37	-0.98	-0.88	-0.78	-0.81	-0.71
AGAP001526		RIO kinase 2 [Source:VB Community Annotation]	-1.15	-0.51	0.13	0.09	0.09	-0.2	-0.29	-0.49	-0.24	0.15	0.4	-0.12	0.12	-0.15	0.1	-0.29	-0.72	0.36	-0.04	0.02	-0.36	0.31	-0.39	-0.01	-0.15	0.13	-0.05	-0.23
AGAP029047			1.34	0.16	-1.05	0.14	0.11	0.32	0.24	-0.21	-0.47	-0.61	-0.08	-0.47	0.05	-0.62	-0.08	0.22	-0.04	-0.62	-1.93	-1.68	-1.72	-0.02	0.68	-0.77	-0.53	-0.36	-0.42	-0.13
AGAP011106			-2.56	-0.47	-0.04	-1.41	-1.37	-2.15	-2.04	-2.01	-1.74	2.03	2.54	1.53	2.03	1.28	1.79	-1.52	-1.43	-3.42	1.07	0.94	1.66	-2.01	1.16	1.04	1.03	1.48	1.72	0.67
AGAP007127		regulator of G-protein signaling [Source:VB Community Annotation]	1.28	0.93	-0.8	0.25	-0.07	0.05	-0.01	-0.67	-1.02	-0.42	0.4	-0.4	0.4	-0.56	0.26	0.6	0.1	-1.33	-0.02	-0.07	0.08	0.25	0.05	-0.84	-0.76	-0.62	-0.62	-0.52
AGAP001883		ELAV (embryonic lethal, abnormal vision Drosophila)-like [Source:VB Community Annotation]	1.02	-0.03	0.06	-0.48	0.44	0.38	0.15	-0.27	-0.27	-0.61	-1.23	-1.08	-1.71	-1.09	-1.71	-0.2	-0.51	0.4	-0.29	-0.18	-0.47	-0.1	0.2	-0.32	-0.29	-0.5	-0.43	-0.33
AGAP001474	MSN	myosuppressin [Source:VB Community Annotation]	1.19	0.38	-0.93	0.09	-0.3	0.09	-1.13	-0.33	-0.39	0.23	0.53	0.39	0.68	0.81	1.11	0.71	0.48	-0.08	-1.07	-1.19	-1.16	-0.26	0.1	0.14	-0.02	-0.21	-0.16	0.01
AGAP002089			1.24	0.31	-1.51	0.69	0.02	-0.31	-0.9	-0.91	-1.04	0.28	0.32	0.51	0.54	0.88	0.92	-0.07	-0.31	-0.81	-0.49	-0.53	-0.61	0.52	-0.02	-0.47	-0.44	-0.69	-0.51	-0.66
AGAP000805		BTB/POZ domain-containing protein KCTD16 [Source:VB Community Annotation]	1.23	0.99	-0.88	0.17	-0.07	0.79	0.92	-0.14	-0.46	-0.31	0.04	-0.3	0.04	-0.2	0.16	0.8	-0.04	-1.72	-1.36	-1.1	-1.05	0.96	-0.28	-0.99	-0.71	-0.67	-0.68	-0.43
AGAP006434			-4.81	-0.26	0.2	-1.34	3.8	-0.55	-2.18	-4.36	-3.85	-0.02	-1.72	0.91	-0.81	-0.63	-2.34	1.44	5.98	0.22	1.49	0.34	1.79	-2.22	-3.26	-0.94	-0.32	-0.35	-0.1	-0.84
AGAP000342		inhibin, beta [Source:VB Community Annotation]	1.57	0.56	-0.76	0.61	0.66	0.37	-0.65	-0.89	-0.7	0.07	0.39	0.31	0.61	0.22	0.55	0.95	0.47	-0.9	-1.38	-1.24	-1.25	0.09	-0.03	-0.46	-1.05	-0.21	-0.16	-0.31
AGAP005079		guanine nucleotide-binding protein G(q) alpha subunit [Source:VB Community Annotation]	-1.29	0.83	-0.68	-0.15	1.32	0.48	-0.55	-0.97	-1.06	0.4	1.39	-0.01	0.98	0.75	1.75	0.65	1.63	-1.35	0.52	0.74	0.54	-0.01	-0.51	-0.41	-0.33	-0.47	-0.42	-0.37
AGAP006756			-1.16	-1.78	-0.7	-1.03	-0.69	-1.07	-1.61	-1.6	-1.57	0.36	0.35	0.54	0.51	0.37	0.35	-0.54	-0.24	-1.74	0.07	0.33	0.12	-0.3	0.71	-1.01	-0.41	-1.09	-0.85	-1.14
AGAP013149	GPROP1	long wavelength sensitive opsin [Source:VB Community Annotation]	1.19	0.66	-0.57	0.13	0.01	0.63	-0.84	-0.07	0.11	-0.4	1.13	-0.54	0.98	0.49	2.03	1.02	1.9	-0.65	-0.78	-0.87	-0.89	-0.09	-0.16	-0.85	-0.8	-0.9	-0.95	-0.92
AGAP004581		heat shock protein 70kDa [Source:VB Community Annotation]	3.64	-0.03	3.69	-2.18	-2.92	-2.53	-2.71	0.7	0.76	2.09	1.51	0.68	0.11	2.64	2.09	-5.67	6.32	0.49	1.33	0.31	0.18	0.29	-2.94	-5.24	-3.5	-6.47	-6.19	-6.6
AGAP009477		bruno [Source:VB Community Annotation]	-1.9	-0.51	0.39	-0.41	-1.05	-0.16	0.73	-0.26	-0.16	-0.26	-1.51	-0.79	-2.06	-1.48	-2.73	-0.68	-0.52	0.49	-0.4	-0.3	-0.5	-0.32	0.83	-0.01	0.03	0.21	0.01	0.23
AGAP010260			1.24	0.35	-1.36	0.52	0.05	0.18	-0.59	-0.5	-0.93	-0.09	0.61	-0.11	0.59	0.38	1.09	0.26	-0.11	-0.46	-1.01	-0.96	-1.1	-0.13	0.04	-0.21	-0.33	-0.59	-0.38	-0.36
AGAP004883			-1.74	0.57	0.22	-0.22	2.47	-0.41	-2.06	-2.94	-2.55	0.71	1.25	0.48	1.01	-0.09	0.46	1.57	4.41	-0.47	2.24	1.69	3.37	-1.56	-1.18	0.46	0.27	-0.13	-0.78	-0.39
AGAP007065		transcription factor CP2 and related proteins [Source:VB Community Annotation]	-1.14	-1.04	-0.09	-0.94	-0.46	-0.15	0.12	0.23	-0.25	0.05	0.24	0.0	0.18	-0.13	0.06	-0.33	0.2	-0.52	0.44	0.16	0.13	0.13	0.42	0.1	-0.01	0.01	0.02	0.1
AGAP004827			1.33	0.54	-0.76	0.34	0.61	0.26	-0.27	-0.94	-1.12	-0.55	0.42	-0.22	0.74	-0.33	0.65	0.46	0.44	-0.42	-0.99	-0.94	-0.98	-0.66	-0.05	-0.83	-0.79	-0.67	-0.78	-0.63
AGAP012635			-2.64	-2.73	0.65	-2.81	-2.67	-1.43	-2.33	-2.8	-3.16	0.13	0.45	-0.8	-0.49	-0.61	-0.29	-2.19	-0.14	-0.68	0.86	-0.03	-0.36	-0.04	-1.33	-0.48	-0.44	-0.72	-0.86	-0.91
AGAP006511		histone deacetylase 1/2 [Source:VB Community Annotation]	-1.09	-0.78	0.23	-0.4	0.0	-0.34	-0.21	-0.36	-0.47	-0.06	-0.97	-0.18	-1.1	-0.53	-1.43	-0.23	-0.42	0.27	0.24	0.2	-0.16	0.3	0.3	0.13	0.4	0.25	0.23	0.38
AGAP001200		glycogen debranching enzyme [Source:VB Community Annotation]	-1.58	-0.91	0.2	0.24	0.1	0.35	1.06	1.21	0.96	-0.79	0.1	-0.83	0.06	-1.11	-0.21	0.12	0.56	0.92	-0.2	0.22	0.33	1.15	1.03	-0.37	-0.87	-0.43	-0.91	-0.68
